,Image.Name,Date,Altitude,var,dens,Rows,Plots,Intensity,Hue,Saturation,Lightness,a.,b.,u.,v.,GA,GGA,CSI,NGRDI,NGRDIveg,TGI,TGIveg
315,R-002_Plot-027,2022-02-03,30m,MARCOPOLO,280,R2,212,0.31192914,34.5918,0.107990384,34.582996,-1.0212336,11.637769,4.2005024,12.605882,0.026578178,0.00118075,95.55744681,-0.0415,0.0065,323.1577,610.6208
297,R-002_Plot-026,2022-05-03,50m,HONDIA,560,R2,211,0.12554784,138.38687,0.32579505,16.308672,-14.833792,10.674405,-9.665231,9.881162,1,1,0,0.3833,0.3833,1834.9578,1834.9578
312,R-002_Plot-027,2022-05-03,50m,MARCOPOLO,280,R2,212,0.14075331,127.91452,0.19550735,17.567179,-12.680484,10.994818,-8.102075,10.261061,0.99996219,0.99973533,0.022686883,0.2789,0.2789,1619.6359,1619.6894
80,R-001_Plot-013,2022-06-02,50m,BOLOGNA,35,R1,113,0.1915393,70.0929,0.15730608,21.934662,-4.9014654,11.209174,-0.9454277,10.582551,0.767279189,0.341651543,55.47233036,0.0315,0.0509,829.0748,845.1251
330,R-002_Plot-028,2022-02-03,30m,BOLOGNA,280,R2,213,0.3174865,33.947666,0.10253316,35.135456,-1.0255513,11.453345,4.1424036,12.500161,0.018490165,0.000871877,95.28464635,-0.0409,0.006,298.2141,610.1402
82,R-001_Plot-014,2022-01-19,15m,HONDIA,140,R1,114,0.3560691,40.477535,0.100131094,39.541996,-2.262055,12.644567,3.216055,14.479796,0.084152113,0.010789487,87.17859017,-0.0276,0.0104,473.7861,661.1236
344,R-002_Plot-029,2022-02-03,30m,HONDIA,140,R2,214,0.32330117,30.167557,0.10021323,35.62266,-0.3601348,11.296816,4.96474,12.293655,0.007974482,0.000106326,98.66666667,-0.0479,0.0071,210.5354,608.1867
335,R-002_Plot-028,2022-05-03,50m,BOLOGNA,280,R2,213,0.17781486,124.80979,0.20740962,23.512205,-16.817911,15.003097,-12.1746435,15.576758,0.99973533,0.999130369,0.060512084,0.3018,0.3019,2355.745,2356.0459
356,R-001_Plot-003,2022-02-03,30m,BOLOGNA,560,R1,103,0.2950982,35.872345,0.12516737,32.895195,-1.0067617,12.205237,4.3685594,12.902357,0.03573631,0.00096757,97.29247248,-0.0441,0.0071,385.4703,738.2758
86,R-001_Plot-014,2022-03-09,30m,HONDIA,140,R1,114,0.28304532,51.285107,0.095923245,31.683205,-3.210516,10.715508,0.94995844,11.676831,0.384002735,0.152156037,60.37631433,-0.0038,0.0409,517.3818,854.2856
87,R-001_Plot-014,2022-03-22,50m,HONDIA,140,R1,114,0.2576409,73.33128,0.104834735,29.326996,-5.235798,11.094296,-1.3687544,11.992139,0.738278887,0.329060799,55.42865922,0.0279,0.0452,787.7257,880.6604
88,R-001_Plot-014,2022-04-19,50m,HONDIA,140,R1,114,0.13947655,131.44493,0.23320067,17.707512,-13.651237,11.19977,-8.925594,10.561947,0.992702662,0.978864186,1.394020187,0.3096,0.3121,1746.0033,1753.3818
89,R-001_Plot-014,2022-03-09,15m,HONDIA,140,R1,114,0.29840183,65.21014,0.09851515,33.743786,-4.780155,11.717587,-0.55814105,13.197336,0.538392469,0.253689107,52.88026465,0.018,0.055,741.0108,1013.6807
90,R-001_Plot-014,2022-01-19,30m,HONDIA,140,R1,114,0.36780497,39.80035,0.11319202,40.932625,-2.0654974,13.834742,4.056915,15.835778,0.040681505,0.002291395,94.36747672,-0.0328,0.0073,536.4622,836.8314
374,R-002_Plot-030,2022-02-03,30m,MARCOPOLO,70,R2,215,0.33288166,27.673115,0.10075915,36.58763,0.0989505,11.466573,5.6957397,12.503832,0.002807018,6.38E-05,97.72727273,-0.054,0.0028,154.8032,525.2799
349,R-002_Plot-029,2022-05-03,50m,HONDIA,140,R2,214,0.19601898,146.45096,0.313976,25.412733,-18.291933,11.21503,-15.016675,13.221452,1,1,0,0.3594,0.3594,2239.9531,2239.9531
93,R-001_Plot-014,2022-04-05,50m,HONDIA,140,R1,114,0.17035066,101.05851,0.13236362,19.933071,-8.043356,10.437504,-4.301838,9.937235,0.915494555,0.796771022,12.9682402,0.1302,0.1456,1100.6386,1145.8546
354,R-001_Plot-003,2022-05-03,50m,BOLOGNA,560,R1,103,0.19576998,116.497345,0.17499292,25.412733,-15.900368,15.801762,-11.384424,16.65491,0.967672414,0.927820629,4.118313601,0.2583,0.2681,2301.8051,2338.8085
95,R-001_Plot-014,2022-06-02,50m,HONDIA,140,R1,114,0.16253322,137.42697,0.1398952,18.868881,-9.479264,7.669121,-6.3415523,7.731518,0.998260738,0.99111464,0.715854859,0.1893,0.1894,1045.6256,1045.8459
