"","Image.Name","Date","Altitude","var","dens","Rows","Plots","Intensity","Hue","Saturation","Lightness","a.","b.","u.","v.","GA","GGA","CSI","NGRDI","NGRDIveg","TGI","TGIveg"
"64","R-003_Plot-040","2022-03-09","15m","BOLOGNA","35","R3",310,0.31920838,55.640995,0.109041035,36.01882,-4.1483893,12.742003,0.690008,14.422864,0.415643652528464,0.124977000581425,69.9316951380927,-9e-04,0.0337,733.5757,1044.9109
"65","R-003_Plot-040","2022-02-14","30m","BOLOGNA","35","R3",310,0.2866495,30.73861,0.10395563,31.62027,-0.4234043,10.559273,4.350554,11.0595045,0.0211492086370818,0.00181094141234951,91.4373088685015,-0.0488,0.0097,206.0495,616.3714
"66","R-003_Plot-040","2022-05-03","50m","BOLOGNA","35","R3",310,0.2728496,71.33818,0.19158089,32.378353,-7.4571185,16.902674,-1.952039,18.117367,0.673396854204477,0.452245916515427,32.8411005053341,0.0504,0.0972,1470.8764,1698.8411
"67","R-003_Plot-040","2022-04-05","50m","BOLOGNA","35","R3",310,0.28672147,45.458954,0.15708917,32.594482,-2.5524852,14.200069,3.1852517,14.955607,0.340403811252269,0.0710828796128252,79.1180717538598,-0.0229,0.0283,724.8762,995.5242
"68","R-003_Plot-040","2022-03-09","30m","BOLOGNA","35","R3",310,0.33763123,39.092327,0.10900903,37.579338,-1.8747568,12.660848,3.6612885,14.170126,0.128780109210855,0.0226644861453742,82.4006313674846,-0.0309,0.025,458.5304,1017.254
"69","R-003_Plot-040","2022-03-22","50m","BOLOGNA","35","R3",310,0.34424362,35.855602,0.10299879,38.13225,-1.3862367,12.30397,4.1756654,13.80011,0.0461282516636419,0.00109649122807018,97.6229508196721,-0.0358,0.0084,369.6402,786.9016
"70","R-003_Plot-040","2022-02-03","15m","BOLOGNA","35","R3",310,0.31322277,29.855389,0.104999304,34.53952,-0.2145707,11.293049,5.0939,12.124942,0.0151409772360955,0.00162835883508865,89.2453518045935,-0.0523,0.01,206.1532,635.3732
"71","R-003_Plot-044","2022-02-03","15m","MARCOPOLO","35","R3",314,0.31846485,32.556416,0.08244735,35.050304,-1.1881679,10.22921,3.3955996,11.299636,0.0532684933724875,0.00671215031683999,87.399398984491,-0.0371,0.0089,215.4672,582.5015
"72","R-003_Plot-044","2022-03-09","15m","MARCOPOLO","35","R3",314,0.3332864,48.36296,0.09909004,37.26779,-3.2539163,12.239118,1.6636522,13.947219,0.279229501078213,0.0690000956775813,75.2891097068378,-0.0119,0.0277,581.5785,934.5496
"73","R-003_Plot-044","2022-04-05","50m","MARCOPOLO","35","R3",314,0.2874419,37.397038,0.14471287,32.242287,-1.0047038,13.10879,4.700065,13.635881,0.242059891107078,0.0754688445251059,68.8222430490472,-0.038,0.0349,474.6289,860.0062
"74","R-003_Plot-044","2022-02-14","30m","MARCOPOLO","35","R3",314,0.3073907,28.897223,0.073603034,33.679535,-0.8631239,9.346299,3.3695974,10.202232,0.0229139525644224,0.00161691197531206,92.9435483870968,-0.0383,0.0055,125.6257,484.555
"75","R-003_Plot-044","2022-02-02","30m","MARCOPOLO","35","R3",314,0.33074465,33.491535,0.09625763,36.5244,-1.0718123,11.409475,4.12655,12.642691,0.00394471026049973,0,100,-0.0396,0.0027,281.7878,639.6092
"76","R-003_Plot-044","2022-03-09","30m","MARCOPOLO","35","R3",314,0.3385322,36.864937,0.09505439,37.46849,-1.6395365,11.683534,3.5410132,13.134795,0.100183865990335,0.0143489388437693,85.6773955547358,-0.0316,0.0184,356.3421,847.6007
"77","R-003_Plot-044","2022-03-22","50m","MARCOPOLO","35","R3",314,0.3377999,35.62217,0.07983029,37.21738,-1.6552145,10.652306,3.0551555,12.058753,0.0915003024803388,0.00483968542044767,94.7107438016529,-0.028,0.008,277.0329,632.7541
"78","R-003_Plot-044","2022-04-19","50m","MARCOPOLO","35","R3",314,0.25830972,49.225796,0.19641477,29.838993,-3.1441083,15.4073,2.7458217,15.541222,0.437273139745917,0.256465517241379,41.348897535668,-0.0041,0.0842,915.5305,1328.2166
"79","R-003_Plot-044","2022-05-03","50m","MARCOPOLO","35","R3",314,0.28925806,64.89436,0.17098898,33.750202,-6.0887537,16.041754,-0.5381561,17.438042,0.600877192982456,0.40014367816092,33.4067455323433,0.0392,0.0982,1239.6811,1481.6939
"80","R-003_Plot-044","2022-02-14","15m","MARCOPOLO","35","R3",314,0.29411212,42.38005,0.08341229,32.601204,-2.3144877,10.000797,1.7878174,10.962694,0.166364914294967,0.0156248850029071,90.6080647658652,-0.021,0.0087,353.0766,561.0914
"81","R-004_Plot-046","2022-04-19","50m","HONDIA","35","R4",401,0.21929973,98.28127,0.15950328,26.61794,-10.668604,14.135966,-6.43263,14.907793,0.854658197217181,0.693587416817907,18.846221907627,0.1347,0.1651,1617.5618,1750.6596
