"","X","dens","altitude","date","pval"
"183","b.",-0.330727052778941,"50m","2022-03-22",0.00985186377153813
"184","u.",-0.93910150789082,"50m","2022-03-22",0
"185","v.",-0.926171849448845,"50m","2022-03-22",0
"186","GA",0.974753321952851,"50m","2022-03-22",0
"187","GGA",0.960877774740462,"50m","2022-03-22",0
"188","CSI",-0.945226082942282,"50m","2022-03-22",0
"189","NGRDI",0.962919299757616,"50m","2022-03-22",0
"190","NGRDIveg",0.944558697210324,"50m","2022-03-22",0
"191","TGI",0.924810832770742,"50m","2022-03-22",0
"192","TGIveg",0.771696456484196,"50m","2022-03-22",5.32462962610225e-13
"193","dens",1,"50m","2022-04-05",NA
"194","Intensity",-0.951350657993744,"50m","2022-04-05",0
"195","Hue",0.907798124294459,"50m","2022-04-05",0
"196","Saturation",0.443010928722409,"50m","2022-04-05",0.000393052181784981
"197","Lightness",-0.945252347612472,"50m","2022-04-05",0
"198","a.",-0.746517647939297,"50m","2022-04-05",7.53752615878511e-12
"199","b.",0.204152501715396,"50m","2022-04-05",0.117671679804748
"200","u.",-0.666898172270292,"50m","2022-04-05",5.96716898115801e-09
"201","v.",-0.894187957513433,"50m","2022-04-05",0
"202","GA",0.921183224005021,"50m","2022-04-05",0
"203","GGA",0.937766547883359,"50m","2022-04-05",0
"204","CSI",-0.942085340707606,"50m","2022-04-05",0
"205","NGRDI",0.920727782736435,"50m","2022-04-05",0
"206","NGRDIveg",0.918686257719281,"50m","2022-04-05",0
"207","TGI",0.385848228242098,"50m","2022-04-05",0.00232876813338256
"208","TGIveg",0.0217762668496422,"50m","2022-04-05",0.868826351967463
"209","dens",1,"50m","2022-04-19",NA
"210","Intensity",-0.922088799414537,"50m","2022-04-19",0
"211","Hue",0.618582080197649,"50m","2022-04-19",1.38513583713973e-07
"212","Saturation",0.604291405077571,"50m","2022-04-19",3.17983966935387e-07
"213","Lightness",-0.8799095068393,"50m","2022-04-19",0
"214","a.",-0.525352437747618,"50m","2022-04-19",1.63341660543992e-05
"215","b.",0.307589769251196,"50m","2022-04-19",0.01681466157358
"216","u.",-0.330727052778941,"50m","2022-04-19",0.00985186377153813
"217","v.",-0.803680348419608,"50m","2022-04-19",1.06581410364015e-14
"218","GA",0.875161601639319,"50m","2022-04-19",0
"219","GGA",0.832187934221226,"50m","2022-04-19",2.22044604925031e-16
"220","CSI",-0.827413085418317,"50m","2022-04-19",4.44089209850063e-16
"221","NGRDI",0.7995972983853,"50m","2022-04-19",1.84297022087776e-14
"222","NGRDIveg",0.792792214994786,"50m","2022-04-19",4.39648317751562e-14
"223","TGI",0.347739761255224,"50m","2022-04-19",0.00648000430722551
"224","TGIveg",0.120449976012083,"50m","2022-04-19",0.359290207756023
"225","dens",1,"50m","2022-05-03",NA
"226","Intensity",-0.827498140286404,"50m","2022-05-03",4.44089209850063e-16
"227","Hue",0.233414360294602,"50m","2022-05-03",0.0726746121740778
"228","Saturation",0.302826210877837,"50m","2022-05-03",0.0186801650311015
"229","Lightness",-0.812220555289673,"50m","2022-05-03",3.33066907387547e-15
"230","a.",-0.0217762668496422,"50m","2022-05-03",0.868826351967463
"231","b.",-0.519227862696156,"50m","2022-05-03",2.13045471915141e-05
"232","u.",0.0517186337679002,"50m","2022-05-03",0.694728417924739
"233","v.",-0.706367655935269,"50m","2022-05-03",2.87571300106038e-10
"234","GA",0.525149572963516,"50m","2022-05-03",1.64798931951982e-05
"235","GGA",0.567749625411612,"50m","2022-05-03",2.23584935410415e-06
"236","CSI",-0.572193169494837,"50m","2022-05-03",1.78591816335505e-06
"237","NGRDI",0.459009251634267,"50m","2022-05-03",0.000225333452203547
"238","NGRDIveg",0.447093978756717,"50m","2022-05-03",0.000341904956629335
"239","TGI",-0.143587259539828,"50m","2022-05-03",0.273731864245034
"240","TGIveg",-0.22184571853073,"50m","2022-05-03",0.088463230160523
"241","dens",1,"50m","2022-05-25",NA
"242","Intensity",-0.400819411701227,"50m","2022-05-25",0.00150546578935051
"243","Hue",0.0428720253602331,"50m","2022-05-25",0.744992533647082
"244","Saturation",0.364071961392456,"50m","2022-05-25",0.00424156174731793
"245","Lightness",-0.279360316670642,"50m","2022-05-25",0.0306464114425993
"246","a.",-0.130657601097853,"50m","2022-05-25",0.319710341177978
"247","b.",0.0374279586478225,"50m","2022-05-25",0.776474349438125
"248","u.",-0.0775779506518503,"50m","2022-05-25",0.555751029130883
"249","v.",-0.0108881334248211,"50m","2022-05-25",0.934195546989848
"250","GA",0.51738545759111,"50m","2022-05-25",2.30539901429072e-05
"251","GGA",0.359318386997397,"50m","2022-05-25",0.00480912591097304
"252","CSI",-0.347124326297509,"50m","2022-05-25",0.00658155441506536
"253","NGRDI",0.190544982146175,"50m","2022-05-25",0.144756406471127
"254","NGRDIveg",0.178973693170497,"50m","2022-05-25",0.171237671589006
"255","TGI",0.286494010740605,"50m","2022-05-25",0.0264706896173692
"256","TGIveg",0.26335672721286,"50m","2022-05-25",0.0420440463515972
"257","dens",1,"50m","2022-05-26",NA
"258","Intensity",-0.400819411701227,"50m","2022-05-26",0.00150546578935051
"259","Hue",0.0428720253602331,"50m","2022-05-26",0.744992533647082
"260","Saturation",0.364071961392456,"50m","2022-05-26",0.00424156174731793
"261","Lightness",-0.279360316670642,"50m","2022-05-26",0.0306464114425993
"262","a.",-0.130657601097853,"50m","2022-05-26",0.319710341177978
"263","b.",0.0374279586478225,"50m","2022-05-26",0.776474349438125
"264","u.",-0.0775779506518503,"50m","2022-05-26",0.555751029130883
"265","v.",-0.0108881334248211,"50m","2022-05-26",0.934195546989848
"266","GA",0.51738545759111,"50m","2022-05-26",2.30539901429072e-05
"267","GGA",0.359318386997397,"50m","2022-05-26",0.00480912591097304
"268","CSI",-0.347124326297509,"50m","2022-05-26",0.00658155441506536
"269","NGRDI",0.190544982146175,"50m","2022-05-26",0.144756406471127
"270","NGRDIveg",0.178973693170497,"50m","2022-05-26",0.171237671589006
"271","TGI",0.286494010740605,"50m","2022-05-26",0.0264706896173692
"272","TGIveg",0.26335672721286,"50m","2022-05-26",0.0420440463515972
"273","dens",1,"50m","2022-06-02",NA
"274","Intensity",0.0326644002744633,"50m","2022-06-02",0.804319359220764
"275","Hue",-0.133379634454059,"50m","2022-06-02",0.309644113792016
"276","Saturation",0.599527846704212,"50m","2022-06-02",4.15737924974735e-07
"277","Lightness",0.0758787881632762,"50m","2022-06-02",0.564464942143867
"278","a.",0.0680508339051319,"50m","2022-06-02",0.605414088215247
"279","b.",0.278327910671989,"50m","2022-06-02",0.0312940701304187
"280","u.",0.117727942655878,"50m","2022-06-02",0.370330499100239
"281","v.",0.254510118805193,"50m","2022-06-02",0.0497156030889994
"282","GA",-0.0684015420127403,"50m","2022-06-02",0.603552034997911
"283","GGA",-0.0891465924157228,"50m","2022-06-02",0.498183206051048
"284","CSI",0.0891478309326746,"50m","2022-06-02",0.498177212863362
"285","NGRDI",-0.115005909299673,"50m","2022-06-02",0.381573533706878
"286","NGRDIveg",-0.0843830340423635,"50m","2022-06-02",0.521507566533643
"287","TGI",0.0918686257719281,"50m","2022-06-02",0.485101963242169
"288","TGIveg",0.215721143479268,"50m","2022-06-02",0.0978490073322704
