"","cp","Accuracy_train","Kappa_train","AccuracySD_train","KappaSD_train","Accuracy_test","AccuracyPValue_test","Kappa_test","PC","date","alt","k","repetitions","CV","split"
"1076",0.001,0.523780303,0.401070062,0.136500586,0.166849296,0.166666667,0.946048574,-0.008403361,3,"19/04/2022","50m",5,20,"cv520","8020split"
"1077",0.001,0.543117605,0.426778025,0.101041179,0.126423381,0.583333333,0.014252782,0.454545455,0,"05/04/2022","50m",5,20,"cv520","8020split"
"1078",0.001,0.556006854,0.444926428,0.10584044,0.130419003,0.583333333,0.014252782,0.454545455,4,"05/04/2022","50m",5,20,"cv520","8020split"
"1079",0.001,0.26974539,0.084789764,0.070893322,0.088889774,0.194444444,0.907845224,0.004766444,0,"26/05/2022","15-30-50m",5,20,"cv520","8020split"
"1080",0.001,0.273842459,0.091007575,0.075229403,0.094709655,0.277777778,0.562939325,0.1094196,3,"26/05/2022","15-30-50m",5,20,"cv520","8020split"
"1081",0.001,0.288800505,0.114260759,0.119928839,0.147884909,0.25,0.818877354,-0.048543689,0,"26/05/2022","50m",5,20,"cv520","8020split"
"1082",0.001,0.302482323,0.120753673,0.105357032,0.128341678,0.166666667,0.946048574,-0.071428571,3,"26/05/2022","50m",5,20,"cv520","8020split"
"1083",0.001,0.146239899,-0.070033378,0.086659658,0.110375456,0.333333333,0.351221383,0.225806452,0,"26/05/2022","15m",5,20,"cv520","8020split"
"1084",0.001,0.245724387,0.06787543,0.096262776,0.117645087,0.416666667,0.157643676,0.236363636,3,"26/05/2022","15m",5,20,"cv520","8020split"
"1085",0.001,0.219991703,0.020870545,0.125481474,0.157284016,0.166666667,0.946048574,-0.052631579,0,"26/05/2022","30m",5,20,"cv520","8020split"
"1086",0.001,0.23210101,0.028526924,0.10978851,0.134592649,0.25,0.818877354,0.1,3,"26/05/2022","30m",5,20,"cv520","8020split"
"1087",0.001,0.445339865,0.305860916,0.100447347,0.12495444,0.25,0.743562119,0.101871102,0,"14/02/2022","15-30m",5,20,"cv520","8020split"
"1088",0.001,0.452834169,0.315896778,0.102457132,0.127306751,0.416666667,0.13187863,0.259911894,3,"14/02/2022","15-30m",5,20,"cv520","8020split"
"1089",0.001,0.490694444,0.36143392,0.139470374,0.172353461,0.833333333,3.76e-05,0.787610619,0,"14/02/2022","15m",5,20,"cv520","8020split"
"1090",0.001,0.436194444,0.293162023,0.117761454,0.146483687,0.583333333,0.014252782,0.473684211,3,"14/02/2022","15m",5,20,"cv520","8020split"
"1091",0.001,0.496329365,0.3598063,0.131354182,0.165179122,0.583333333,0.06644764,0.487179487,0,"14/02/2022","30m",5,20,"cv520","8020split"
"1092",0.001,0.351537879,0.171680918,0.110926428,0.135679265,0.166666667,0.946048574,0.047619048,3,"14/02/2022","30m",5,20,"cv520","8020split"
"1093",0.001,0.32047796,0.150806364,0.106820487,0.13392804,0.375,0.121318284,0.205298013,0,"03/02/2022","15-30m",5,20,"cv520","8020split"
"1094",0.001,0.297024712,0.119287258,0.086378143,0.105779148,0.333333333,0.233795831,0.179487179,4,"03/02/2022","15-30m",5,20,"cv520","8020split"
"1095",0.001,0.557143939,0.430713247,0.080547022,0.097034076,0.166666667,0.985141386,0.076923077,0,"03/02/2022","30m",5,20,"cv520","8020split"
"1096",0.001,0.332320707,0.15634345,0.11866401,0.140204168,0.333333333,0.808403993,0.225806452,4,"03/02/2022","30m",5,20,"cv520","8020split"
"1097",0.001,0.422419192,0.27245848,0.122893629,0.151868032,0.583333333,0.06644764,0.487179487,0,"03/02/2022","15m",5,20,"cv520","8020split"
"1098",0.001,0.422179293,0.271372066,0.130855769,0.160256528,0.666666667,0.018758432,0.582608696,3,"03/02/2022","15m",5,20,"cv520","8020split"
