"","contrast","estimate","SE","df","t.ratio","p.value"
"205","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_15-30m_var_trainonly_nosplit)",0.0274108891000009,0.0274055986326697,507,1.00019304330484,1
"206","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_15m_PC_cv1010_8020split)",0.00767582953333631,0.0365407981768925,507,0.21006190111606,1
"207","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_15m_PC_cv510_8020split)",0.0268336579500007,0.0335648663727787,507,0.799456719177139,1
"208","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_15m_PC_cv520_8020split)",0.0360672442000016,0.0548111972653398,507,0.658026936091194,1
"209","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_15m_PC_trainonly_nosplit)",-0.0432936149999992,0.0274055986326697,507,-1.57973615465526,1
"210","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_15m_var_cv1010_8020split)",-0.0317733766999991,0.0274055986326697,507,-1.15937539354176,1
"211","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_15m_var_cv510_8020split)",-0.0710968976888884,0.0279084955999528,507,-2.54750018446027,1
"212","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_15m_var_cv520_8020split)",-0.0205551306888878,0.0279084955999527,507,-0.736518764161643,1
"213","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_15m_var_trainonly_nosplit)",-0.108093217799999,0.0274055986326697,507,-3.94420203144707,0.29594234735696
"214","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_30m_var_cv1010_8020split)",-0.0292646462999986,0.0302980292732142,507,-0.965892733025735,1
"215","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_30m_var_cv510_8020split)",0.00604114953333401,0.036540798176893,507,0.165326151445543,1
"216","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_30m_var_cv520_8020split)",0.0158361832000008,0.0335648663727786,507,0.471808319572041,1
"217","(03/02/2022_15m_PC_cv520_8020split) - (14/02/2022_30m_var_trainonly_nosplit)",-0.0377610749999992,0.0274055986326697,507,-1.37785988571638,1
"218","(03/02/2022_15m_PC_cv520_8020split) - (19/01/2022_15m_PC_cv1010_8020split)",-0.0187209957999993,0.0418627433999293,507,-0.447199449428126,1
"219","(03/02/2022_15m_PC_cv520_8020split) - (19/01/2022_15m_PC_cv520_8020split)",0.0190564212000008,0.0548111972653395,507,0.347673872324832,1
"220","(03/02/2022_15m_PC_cv520_8020split) - (19/01/2022_30m_var_cv1010_8020split)",0.0328980522000001,0.0548111972653394,507,0.600206779661126,1
"221","(03/02/2022_15m_PC_cv520_8020split) - (19/01/2022_30m_var_cv520_8020split)",0.0252555552000013,0.0548111972653395,507,0.460773645898298,1
"222","(03/02/2022_15m_PC_cv520_8020split) - (19/04/2022_50m_PC_cv1010_8020split)",-0.0492686147999993,0.0548111972653392,507,-0.898878646300893,1
"223","(03/02/2022_15m_PC_cv520_8020split) - (19/04/2022_50m_PC_cv510_8020split)",0.0365344155333342,0.036540798176893,507,0.999825328293926,1
"224","(03/02/2022_15m_PC_cv520_8020split) - (19/04/2022_50m_PC_cv520_8020split)",0.0188829002000011,0.0418627433999292,507,0.451066955158822,1
"225","(03/02/2022_15m_PC_cv520_8020split) - (19/04/2022_50m_PC_trainonly_nosplit)",0.0406123372000008,0.0548111972653396,507,0.740949645806815,1
"226","(03/02/2022_15m_PC_cv520_8020split) - (19/04/2022_50m_var_cv1010_8020split)",-0.0691995669999989,0.0274055986326698,507,-2.52501570673618,1
"227","(03/02/2022_15m_PC_cv520_8020split) - (19/04/2022_50m_var_cv510_8020split)",-0.0817968975999993,0.0274055986326697,507,-2.98467837526055,1
"228","(03/02/2022_15m_PC_cv520_8020split) - (19/04/2022_50m_var_cv520_8020split)",-0.0595220057999991,0.0274055986326697,507,-2.1718921961093,1
"229","(03/02/2022_15m_PC_cv520_8020split) - (19/04/2022_50m_var_trainonly_nosplit)",-0.137256312999999,0.0274055986326697,507,-5.00833113845499,0.00245994416471536
"230","(03/02/2022_15m_PC_cv520_8020split) - (22/03/2022_50m_PC_cv1010_8020split)",-0.120706710099998,0.0274055986326697,507,-4.40445442253927,0.0419423383545052
"231","(03/02/2022_15m_PC_cv520_8020split) - (22/03/2022_50m_PC_cv510_8020split)",-0.107344300199999,0.0274055986326697,507,-3.91687485607543,0.330448234320452
"232","(03/02/2022_15m_PC_cv520_8020split) - (22/03/2022_50m_PC_cv520_8020split)",-0.116485533999999,0.0274055986326697,507,-4.2504283727318,0.0822992517266601
"233","(03/02/2022_15m_PC_cv520_8020split) - (22/03/2022_50m_PC_trainonly_nosplit)",-0.303694011699999,0.0274055986326697,507,-11.0814587840446,3.41336809511158e-22
