date,alt,PC,mtry,OOB,X35,X70,X140,X280,X560,Accuracy_test,AccuracyPValue_test,Kappa_test
26/05/2022,30m,3,1,0.729166667,0.454545455,1,0.555555556,0.909090909,0.833333333,0.083333333,0.999972618,-0.039370079
22/03/2022,50m,3,1,0.104166667,0,0.1,0.222222222,0.090909091,0.111111111,0.666666667,0.00278151,0.586206897
22/03/2022,50m,3,1,0.145833333,0,0.2,0.2,0.111111111,0.2,0.833333333,3.76E-05,0.789473684
22/03/2022,50m,3,1,0.1875,0.1,0.222222222,0.222222222,0.1,0.3,0.916666667,2.21E-06,0.894736842
05/04/2022,50m,3,1,0.291666667,0,0.1,0.083333333,0.777777778,0.555555556,0.75,0.003855555,0.660377358
05/04/2022,50m,3,1,0.333333333,0,0.1,0.125,0.888888889,0.666666667,0.583333333,0.06644764,0.439252336
05/04/2022,50m,3,1,0.333333333,0,0,0.75,0.583333333,0.6,0.583333333,0.822277544,0.444444444
19/04/2022,50m,3,1,0.291666667,0.166666667,0.222222222,0.142857143,0.5,0.4,0.5,0.379768823,0.357142857
19/04/2022,50m,3,1,0.5,0.125,0.5,0.4,0.9,0.5,0.666666667,0.018758432,0.563636364
19/04/2022,50m,3,1,0.333333333,0.1,0.222222222,0.444444444,0.5,0.4,0.416666667,0.157643676,0.275862069
19/04/2022,50m,3,1,0.5,0,0.666666667,0.555555556,0.6,0.636363636,0.666666667,0.00278151,0.582608696
19/04/2022,50m,3,1,0.375,0.111111111,0.2,0.4,0.6,0.555555556,0.75,0.000391662,0.686956522
19/04/2022,50m,3,1,0.3125,0.111111111,0.272727273,0.416666667,0.285714286,0.444444444,0.333333333,0.808403993,0.157894737
19/04/2022,50m,3,1,0.458333333,0.111111111,0.3,0.555555556,0.7,0.6,0.75,0.000391662,0.681415929
19/04/2022,50m,3,1,0.354166667,0.090909091,0.272727273,0.3,0.666666667,0.6,0.416666667,0.806152344,0.31147541
19/04/2022,50m,3,1,0.4375,0.090909091,0.3,0.5,0.8,0.555555556,0.75,0.003855555,0.684210526
19/04/2022,50m,3,1,0.395833333,0.083333333,0.666666667,0.4,0.555555556,0.454545455,0.333333333,0.927001953,0.193277311
03/05/2022,50m,3,1,0.625,0.363636364,0.909090909,0.454545455,1,0.5,0.333333333,0.808403993,0.150442478
03/05/2022,50m,3,1,0.583333333,0.363636364,0.888888889,0.6,0.5,0.6,0.083333333,0.992292653,-0.157894737
03/05/2022,50m,3,1,0.625,0.454545455,0.8,0.454545455,0.714285714,0.777777778,0.25,0.932866946,0.076923077
03/05/2022,50m,3,1,0.604166667,0.4,0.727272727,0.777777778,0.454545455,0.714285714,0.25,0.932866946,0.114754098
03/05/2022,50m,3,1,0.645833333,0.555555556,0.7,0.636363636,0.7,0.625,0.166666667,0.946048574,-0.016949153
03/05/2022,50m,3,1,0.625,0.333333333,0.583333333,0.857142857,0.75,0.777777778,0.416666667,0.608374247,0.269565217
03/05/2022,50m,3,1,0.604166667,0.363636364,0.857142857,0.625,0.636363636,0.636363636,0.166666667,0.985141386,-0.090909091
03/05/2022,50m,3,1,0.645833333,0.272727273,0.8,0.75,0.666666667,0.8,0.25,0.818877354,0.076923077
03/05/2022,50m,3,1,0.6875,0.363636364,0.9,0.5,0.888888889,0.8,0.416666667,0.368479286,0.263157895
26/05/2022,50m,3,1,0.895833333,0.8,0.818181818,1,0.9,1,0.333333333,0.606925322,0.165217391
26/05/2022,50m,3,1,0.791666667,0.454545455,0.8,0.888888889,1,0.909090909,0.083333333,0.998447608,-0.128205128
26/05/2022,50m,3,1,0.833333333,0.636363636,0.888888889,0.75,0.9,1,0.083333333,0.992292653,-0.137931034
