"","cp","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC","k","repetitions"
"188",0.001,0.759952380952381,0.695527751028948,0.154457049800813,0.195667321520589,"2022-03-09","15m",2,10,10
"189",0.001,0.720107142857143,0.645859812269995,0.159701473919686,0.202134876351367,"2022-03-09","30m",0,10,10
"190",0.001,0.767015873015873,0.705924030953036,0.159523652779795,0.200592152670097,"2022-03-09","30m",2,10,10
"191",0.001,0.81272619047619,0.763015352552824,0.140732628766121,0.178193693568967,"2022-03-09","15-30m",0,10,10
"192",0.001,0.767015873015873,0.705924030953036,0.159523652779795,0.200592152670097,"2022-03-09","15-30m",3,10,10
"193",0.001,0.142738095238095,-0.0640989680401633,0.127943872671412,0.155557529453096,"2022-06-02","50m",0,10,10
"194",0.001,0.205892857142857,0.0160235095487992,0.1535003690128,0.184096134420878,"2022-06-02","50m",2,10,10
"195",0.001,0.244642857142857,0.0577468770462679,0.13176835943209,0.161734480688868,"2022-05-26","15m",0,10,10
"196",0.001,0.156440476190476,-0.0455784343060534,0.115551365101501,0.143537144225309,"2022-05-26","15m",3,10,10
"197",0.001,0.347488095238095,0.185080272512828,0.166060353122937,0.204417485059921,"2022-05-26","50m",0,10,10
"198",0.001,0.163015873015873,-0.0405486393187686,0.131845152514644,0.165759383544508,"2022-05-26","50m",3,10,10
"199",0.001,0.195654761904762,0.000959337918514138,0.139910832623703,0.172532763653634,"2022-05-26","30m",0,10,10
"200",0.001,0.246154761904762,0.0613686157670445,0.137229194500372,0.162665122045538,"2022-05-26","30m",3,10,10
"201",0.001,0.21856746031746,0.0251219177986806,0.119589905060255,0.14851209006472,"2022-05-26","15-30-50m",0,10,10
"202",0.001,0.246154761904762,0.0613686157670445,0.137229194500372,0.162665122045538,"2022-05-26","15-30-50m",5,10,10
"203",0.001,0.857305555555556,0.818652043419202,0.114402663034988,0.145641269544244,"2022-03-22","50m",0,10,10
"204",0.001,0.843178571428571,0.802305924601932,0.137688364862477,0.17260826846112,"2022-03-22","50m",2,10,10
"205",0.001,0.662952380952381,0.581197527301899,0.137171330083681,0.167147806757731,"2022-04-19","50m",0,10,10
"206",0.001,0.483928571428571,0.356006964740894,0.173745886668035,0.212961963252949,"2022-04-19","50m",3,10,10
"207",0.001,0.799944444444444,0.747114969625791,0.132507396130336,0.165459745209849,"2022-04-05","50m",0,10,10
"208",0.001,0.72484126984127,0.651486576088012,0.13351036999592,0.165870368838427,"2022-04-05","50m",4,10,10
"209",0.001,0.353142857142857,0.193847671466881,0.150018276904794,0.185214072065224,"2022-05-03","50m",0,10,10
"210",0.001,0.459380952380952,0.321350259474685,0.210369883743944,0.259169077235231,"2022-05-03","50m",3,10,10
"211",0.001,0.645099206349206,0.555969128475873,0.144765430638405,0.178411412997025,"2022-02-14","15m",0,10,10
"212",0.001,0.587464285714286,0.481877799004051,0.161467755511182,0.201805803090067,"2022-02-14","15m",3,10,10
"213",0.001,0.571119047619048,0.464302422570565,0.190551979570904,0.233257377488692,"2022-02-14","30m",0,10,10
"214",0.001,0.306539682539683,0.135922927655377,0.155435509430579,0.190353420566685,"2022-02-14","30m",3,10,10
"215",0.001,0.476599206349206,0.344032013156893,0.14601646840243,0.179441958129693,"2022-02-14","15-30m",0,10,10
"216",0.001,0.306539682539683,0.135922927655377,0.155435509430579,0.190353420566685,"2022-02-14","15-30m",4,10,10
"217",0.001,0.3325,0.166314466681689,0.138290052157028,0.170853143451168,"2022-01-19","30m",0,10,10
"218",0.001,0.34122619047619,0.171206712847231,0.153988489525045,0.187512836999139,"2022-01-19","30m",4,10,10
"219",0.001,0.45706746031746,0.319491726774612,0.197393612607399,0.243626822313818,"2022-01-19","15m",0,10,10
"220",0.001,0.382793650793651,0.229908331189052,0.190685832403303,0.233143817091583,"2022-01-19","15m",4,10,10
"221",0.001,0.303325396825397,0.126936229742814,0.16283119852658,0.203274247226959,"2022-01-19","15-30m",0,10,10
"222",0.001,0.382793650793651,0.229908331189052,0.190685832403303,0.233143817091583,"2022-01-19","15-30m",6,10,10
"223",0.001,0.581809523809524,0.478882312712989,0.180923271752977,0.222505003821424,"2022-02-03","15m",0,10,10
"224",0.001,0.545357142857143,0.42596543835043,0.163965301236634,0.206555096172737,"2022-02-03","15m",3,10,10
"225",0.001,0.448095238095238,0.310623739324521,0.176580613392159,0.214902127791379,"2022-02-03","30m",0,10,10
"226",0.001,0.29584126984127,0.124538890995434,0.162791394024679,0.199964058958325,"2022-02-03","30m",4,10,10
"227",0.001,0.397321428571429,0.244837344800406,0.14346665058888,0.176440787804622,"2022-02-03","15-30m",0,10,10
"228",0.001,0.29584126984127,0.124538890995434,0.162791394024679,0.199964058958325,"2022-02-03","15-30m",6,10,10
"229",0.001,0.72975,0.659911020933822,0.174487818954672,0.218582873377684,"2022-03-09","15m",0,10,10
"230",0.001,0.753678571428571,0.688919686174266,0.173710997445603,0.21868398833644,"2022-03-09","15m",2,10,10
"231",0.001,0.719615079365079,0.646150721046075,0.178041946162915,0.22343046679421,"2022-03-09","30m",0,10,10
"232",0.001,0.765119047619048,0.702493893872873,0.144216168747007,0.182199730649672,"2022-03-09","30m",2,10,10
"233",0.001,0.808349206349206,0.757020183815076,0.140127223264876,0.177416311468289,"2022-03-09","15-30m",0,10,10
"234",0.001,0.765119047619048,0.702493893872873,0.144216168747007,0.182199730649672,"2022-03-09","15-30m",3,10,10
"235",0.001,0.163738095238095,-0.0406017718692701,0.141122466783382,0.170489459624192,"2022-06-02","50m",0,10,10
"236",0.001,0.170384920634921,-0.0337029920591083,0.137029464958658,0.169612147967479,"2022-06-02","50m",2,10,10
"237",0.001,0.225396825396825,0.0311903498095855,0.14968530171178,0.177976335458012,"2022-05-26","15m",0,10,10
"238",0.001,0.149543650793651,-0.056865919995261,0.120903567425385,0.145397817064207,"2022-05-26","15m",3,10,10
"239",0.001,0.333170634920635,0.167883498862858,0.178953798440124,0.219957655193518,"2022-05-26","50m",0,10,10
"240",0.001,0.173214285714286,-0.0311230373117938,0.140689472528802,0.171327188243125,"2022-05-26","50m",3,10,10
"241",0.001,0.182964285714286,-0.0148317222632963,0.122299348685821,0.158765067617442,"2022-05-26","30m",0,10,10
"242",0.001,0.235654761904762,0.0501228799614551,0.132261523770876,0.161682765134031,"2022-05-26","30m",3,10,10
"243",0.001,0.211452380952381,0.0192303386326486,0.142891788728116,0.176070656951302,"2022-05-26","15-30-50m",0,10,10
"244",0.001,0.235654761904762,0.0501228799614551,0.132261523770876,0.161682765134031,"2022-05-26","15-30-50m",5,10,10
"245",0.001,0.864202380952381,0.828317099581336,0.111779997456499,0.140505448364814,"2022-03-22","50m",0,10,10
"246",0.001,0.841047619047619,0.799527610567805,0.137275151973069,0.172807904547588,"2022-03-22","50m",2,10,10
"247",0.001,0.686353174603175,0.608111410763289,0.117633859886482,0.144676724167235,"2022-04-19","50m",0,10,10
"248",0.001,0.471940476190476,0.344188672997414,0.177656245097542,0.217024045905343,"2022-04-19","50m",3,10,10
"249",0.001,0.806119047619048,0.754200987548233,0.115538801087575,0.143792535709462,"2022-04-05","50m",0,10,10
"250",0.001,0.724095238095238,0.65229488085253,0.132298399589031,0.163897476986689,"2022-04-05","50m",4,10,10
"251",0.001,0.368392857142857,0.214881092813374,0.153251068305519,0.187198755766255,"2022-05-03","50m",0,10,10
"252",0.001,0.460011904761905,0.321234736596098,0.191109464281615,0.236802821886576,"2022-05-03","50m",3,10,10
"253",0.001,0.647035714285714,0.561261018556252,0.155855415900805,0.190683934712127,"2022-02-14","15m",0,10,10
"254",0.001,0.574884920634921,0.469536653552214,0.190181218136001,0.235360699442719,"2022-02-14","15m",3,10,10
"255",0.001,0.581154761904762,0.473534350523501,0.182132211552323,0.225221119442625,"2022-02-14","30m",0,10,10
"256",0.001,0.310214285714286,0.144533444596262,0.152277594290787,0.185699476615695,"2022-02-14","30m",3,10,10
"257",0.001,0.47493253968254,0.348037634709856,0.164224116232054,0.20113305522297,"2022-02-14","15-30m",0,10,10
"258",0.001,0.310214285714286,0.144533444596262,0.152277594290787,0.185699476615695,"2022-02-14","15-30m",4,10,10
"259",0.001,0.333511904761905,0.166245432294016,0.166563251689132,0.199841822987139,"2022-01-19","30m",0,10,10
