,cp,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
232,0.001,0.179,-0.018430744,0.151316925,0.188199108,NA,NA,NA,2,02/06/2022,50m,10,10
233,0.001,0.866880952,0.83165962,0.108856267,0.137167036,NA,NA,NA,0,22/03/2022,50m,10,10
234,0.001,0.845456349,0.803714551,0.121658877,0.153996515,NA,NA,NA,2,22/03/2022,50m,10,10
235,0.001,0.670234127,0.591358677,0.143018393,0.172636363,NA,NA,NA,0,19/04/2022,50m,10,10
236,0.001,0.488166667,0.361747286,0.181450955,0.224047749,NA,NA,NA,3,19/04/2022,50m,10,10
237,0.001,0.791861111,0.737678863,0.128574738,0.159438928,NA,NA,NA,0,05/04/2022,50m,10,10
238,0.001,0.74468254,0.678392665,0.13307311,0.164210879,NA,NA,NA,4,05/04/2022,50m,10,10
239,0.001,0.280808265,0.102791211,0.099685889,0.123604475,NA,NA,NA,0,26/05/2022,15-30-50m,10,10
240,0.001,0.29160264,0.114212103,0.106119711,0.132521325,NA,NA,NA,3,26/05/2022,15-30-50m,10,10
241,0.001,0.356714286,0.202815417,0.16244794,0.197854403,NA,NA,NA,0,26/05/2022,50m,10,10
242,0.001,0.165992063,-0.036985335,0.13435443,0.162132463,NA,NA,NA,3,26/05/2022,50m,10,10
243,0.001,0.208063492,0.011159506,0.135680268,0.160703274,NA,NA,NA,0,26/05/2022,15m,10,10
244,0.001,0.151261905,-0.053096299,0.12982977,0.157778282,NA,NA,NA,3,26/05/2022,15m,10,10
245,0.001,0.225869048,0.040241339,0.151536,0.188659889,NA,NA,NA,0,26/05/2022,30m,10,10
246,0.001,0.228380952,0.037068786,0.136917855,0.166483393,NA,NA,NA,3,26/05/2022,30m,10,10
247,0.001,0.518422411,0.396485366,0.129948023,0.162267234,NA,NA,NA,0,14/02/2022,15-30m,10,10
248,0.001,0.478424742,0.345675264,0.131319449,0.163415623,NA,NA,NA,3,14/02/2022,15-30m,10,10
249,0.001,0.659130952,0.573931343,0.144262981,0.17733265,NA,NA,NA,0,14/02/2022,15m,10,10
250,0.001,0.59702381,0.493952596,0.183751429,0.230008929,NA,NA,NA,3,14/02/2022,15m,10,10
251,0.001,0.57947619,0.473731751,0.166917811,0.202733714,NA,NA,NA,0,14/02/2022,30m,10,10
252,0.001,0.303615079,0.133416299,0.143122814,0.17858339,NA,NA,NA,3,14/02/2022,30m,10,10
253,0.001,0.375383783,0.21904596,0.121474746,0.150953265,NA,NA,NA,0,03/02/2022,15-30m,10,10
254,0.001,0.375415418,0.217590583,0.132474149,0.164381517,NA,NA,NA,3,03/02/2022,15-30m,10,10
255,0.001,0.452071429,0.310052744,0.167045592,0.208604172,NA,NA,NA,0,03/02/2022,30m,10,10
256,0.001,0.309392857,0.137753722,0.158440834,0.195642937,NA,NA,NA,4,03/02/2022,30m,10,10
257,0.001,0.584515873,0.479749841,0.176536604,0.215876838,NA,NA,NA,0,03/02/2022,15m,10,10
258,0.001,0.536095238,0.41712261,0.184134361,0.228273246,NA,NA,NA,3,03/02/2022,15m,10,10
259,0.001,0.365404762,0.208206797,0.148356725,0.18496756,NA,NA,NA,0,03/05/2022,50m,10,10
260,0.001,0.443857143,0.298148728,0.195621472,0.238896263,NA,NA,NA,3,03/05/2022,50m,10,10
261,0.001,0.327465701,0.160583126,0.14155168,0.175409616,NA,NA,NA,0,19/01/2022,15-30m,10,10
262,0.001,0.337068099,0.172021624,0.124674674,0.154133735,NA,NA,NA,4,19/01/2022,15-30m,10,10
263,0.001,0.34427381,0.180367037,0.147597585,0.178312686,NA,NA,NA,0,19/01/2022,30m,10,10
264,0.001,0.370702381,0.21060792,0.167421579,0.208741816,NA,NA,NA,4,19/01/2022,30m,10,10
265,0.001,0.458492063,0.324364306,0.204159901,0.248743525,NA,NA,NA,0,19/01/2022,15m,10,10
266,0.001,0.401583333,0.251645952,0.196338659,0.240293102,NA,NA,NA,4,19/01/2022,15m,10,10
267,0.001,0.661883283,0.575832658,0.121812776,0.152052408,NA,NA,NA,0,09/03/2022,15-30m,10,10
268,0.001,0.65919314,0.572166654,0.1008639,0.124859536,NA,NA,NA,3,09/03/2022,15-30m,10,10
269,0.001,0.71947619,0.644851013,0.192077767,0.243176193,NA,NA,NA,0,09/03/2022,15m,10,10
270,0.001,0.761357143,0.696739332,0.148761408,0.190056138,NA,NA,NA,2,09/03/2022,15m,10,10
271,0.001,0.729690476,0.658361701,0.181168135,0.227858674,NA,NA,NA,0,09/03/2022,30m,10,10
272,0.001,0.781988095,0.723470313,0.143993263,0.18160541,NA,NA,NA,2,09/03/2022,30m,10,10
273,0.001,0.142035714,-0.066487836,0.125799932,0.1498682,NA,NA,NA,0,02/06/2022,50m,10,10
274,0.001,0.186369048,-0.007384563,0.148012766,0.182585836,NA,NA,NA,2,02/06/2022,50m,10,10
275,0.001,0.862388889,0.826062936,0.111731368,0.140194304,NA,NA,NA,0,22/03/2022,50m,10,10
276,0.001,0.853011905,0.814134672,0.117755306,0.147749837,NA,NA,NA,2,22/03/2022,50m,10,10
277,0.001,0.675440476,0.594677531,0.116071586,0.143082597,NA,NA,NA,0,19/04/2022,50m,10,10
278,0.001,0.481777778,0.355447303,0.175251474,0.215100693,NA,NA,NA,3,19/04/2022,50m,10,10
279,0.001,0.7835,0.727160515,0.142271931,0.175470305,NA,NA,NA,0,05/04/2022,50m,10,10
280,0.001,0.738940476,0.669597832,0.115673603,0.143371416,NA,NA,NA,4,05/04/2022,50m,10,10
281,0.001,0.269624785,0.086274374,0.101562756,0.126564972,NA,NA,NA,0,26/05/2022,15-30-50m,10,10
282,0.001,0.285612874,0.10712872,0.093969709,0.116367329,NA,NA,NA,3,26/05/2022,15-30-50m,10,10
283,0.001,0.340821429,0.169212343,0.188953093,0.23782658,NA,NA,NA,0,26/05/2022,50m,10,10
284,0.001,0.18902381,-0.009533622,0.13395713,0.165759386,NA,NA,NA,3,26/05/2022,50m,10,10
285,0.001,0.24,0.050729204,0.142391115,0.163871294,NA,NA,NA,0,26/05/2022,15m,10,10
286,0.001,0.163940476,-0.040001085,0.119125431,0.147517444,NA,NA,NA,3,26/05/2022,15m,10,10
287,0.001,0.203511905,0.012493475,0.150112513,0.188879951,NA,NA,NA,0,26/05/2022,30m,10,10
288,0.001,0.235142857,0.043147202,0.146470602,0.179171288,NA,NA,NA,3,26/05/2022,30m,10,10
289,0.001,0.507727273,0.383253497,0.138213458,0.172531686,NA,NA,NA,0,14/02/2022,15-30m,10,10
290,0.001,0.466837829,0.333331632,0.11809465,0.146828624,NA,NA,NA,3,14/02/2022,15-30m,10,10
291,0.001,0.644130952,0.555538927,0.139756746,0.169822242,NA,NA,NA,0,14/02/2022,15m,10,10
292,0.001,0.582821429,0.476256468,0.17535742,0.216786961,NA,NA,NA,3,14/02/2022,15m,10,10
293,0.001,0.588845238,0.483101221,0.193233534,0.240445763,NA,NA,NA,0,14/02/2022,30m,10,10
294,0.001,0.313309524,0.142777408,0.160763436,0.19959245,NA,NA,NA,3,14/02/2022,30m,10,10
295,0.001,0.378705461,0.22103142,0.121854571,0.151904497,NA,NA,NA,0,03/02/2022,15-30m,10,10
296,0.001,0.3825338,0.227236749,0.132655699,0.166100745,NA,NA,NA,3,03/02/2022,15-30m,10,10
297,0.001,0.461011905,0.326473162,0.186083178,0.227341768,NA,NA,NA,0,03/02/2022,30m,10,10
298,0.001,0.315059524,0.144941741,0.162587103,0.197584322,NA,NA,NA,4,03/02/2022,30m,10,10
299,0.001,0.602448413,0.500972171,0.198855775,0.246553364,NA,NA,NA,0,03/02/2022,15m,10,10
300,0.001,0.539674603,0.419465772,0.167392048,0.208368678,NA,NA,NA,3,03/02/2022,15m,10,10
301,0.001,0.366714286,0.211165122,0.138594919,0.168733573,NA,NA,NA,0,03/05/2022,50m,10,10
302,0.001,0.426738095,0.285676249,0.206777183,0.254367012,NA,NA,NA,3,03/05/2022,50m,10,10
303,0.001,0.356895604,0.194822671,0.130236234,0.160195469,NA,NA,NA,0,19/01/2022,15-30m,10,10
304,0.001,0.349148352,0.18440913,0.128056261,0.157958416,NA,NA,NA,4,19/01/2022,15-30m,10,10
305,0.001,0.33872619,0.174227967,0.162489523,0.200072952,NA,NA,NA,0,19/01/2022,30m,10,10
306,0.001,0.343404762,0.181148369,0.165706575,0.204683162,NA,NA,NA,4,19/01/2022,30m,10,10
307,0.001,0.489535714,0.357829798,0.184698655,0.228401281,NA,NA,NA,0,19/01/2022,15m,10,10
308,0.001,0.409246032,0.259607726,0.194807347,0.24103525,NA,NA,NA,4,19/01/2022,15m,10,10
309,0.001,0.657047619,0.56863887,0.107667572,0.135421938,NA,NA,NA,0,09/03/2022,15-30m,10,10
310,0.001,0.648835331,0.559311483,0.097523654,0.121608847,NA,NA,NA,3,09/03/2022,15-30m,10,10
311,0.001,0.712043651,0.636255308,0.164467097,0.207410433,NA,NA,NA,0,09/03/2022,15m,10,10
312,0.001,0.754809524,0.690177113,0.16137798,0.203387571,NA,NA,NA,2,09/03/2022,15m,10,10
313,0.001,0.729619048,0.659785099,0.162505189,0.202564848,NA,NA,NA,0,09/03/2022,30m,10,10
314,0.001,0.7855,0.729294678,0.146228103,0.183561452,NA,NA,NA,2,09/03/2022,30m,10,10
315,0.001,0.13759127,-0.069346924,0.122915441,0.150960429,NA,NA,NA,0,02/06/2022,50m,10,10
316,0.001,0.200190476,0.005190547,0.158122368,0.192945757,NA,NA,NA,2,02/06/2022,50m,10,10
317,0.001,0.868904762,0.833854209,0.114885053,0.144554264,NA,NA,NA,0,22/03/2022,50m,10,10
318,0.001,0.838353175,0.796267659,0.131743899,0.164526357,NA,NA,NA,2,22/03/2022,50m,10,10
319,0.001,0.678492063,0.599099703,0.117756777,0.145268042,NA,NA,NA,0,19/04/2022,50m,10,10
320,0.001,0.475035714,0.345948444,0.189127656,0.232516871,NA,NA,NA,3,19/04/2022,50m,10,10
321,0.001,0.781440476,0.724162669,0.135488269,0.16772841,NA,NA,NA,0,05/04/2022,50m,10,10
322,0.001,0.730444444,0.659782056,0.113388137,0.138621641,NA,NA,NA,4,05/04/2022,50m,10,10
323,0.001,0.257786765,0.070733575,0.098128406,0.122984784,NA,NA,NA,0,26/05/2022,15-30-50m,10,10
324,0.001,0.289961257,0.112812347,0.116597328,0.14540125,NA,NA,NA,3,26/05/2022,15-30-50m,10,10
325,0.001,0.333142857,0.164430696,0.18936331,0.234985087,NA,NA,NA,0,26/05/2022,50m,10,10
326,0.001,0.178293651,-0.022129459,0.128086899,0.152960773,NA,NA,NA,3,26/05/2022,50m,10,10
327,0.001,0.235492063,0.046355646,0.146312901,0.173400857,NA,NA,NA,0,26/05/2022,15m,10,10
328,0.001,0.139654762,-0.073441666,0.121732082,0.148254063,NA,NA,NA,3,26/05/2022,15m,10,10
329,0.001,0.224821429,0.040399155,0.150886598,0.190225045,NA,NA,NA,0,26/05/2022,30m,10,10
330,0.001,0.235333333,0.044341249,0.133771085,0.166730195,NA,NA,NA,3,26/05/2022,30m,10,10
331,0.001,0.502219447,0.376915374,0.11595488,0.142403187,NA,NA,NA,0,14/02/2022,15-30m,10,10
332,0.001,0.454666001,0.317435674,0.133250134,0.164496953,NA,NA,NA,3,14/02/2022,15-30m,10,10
333,0.001,0.637130952,0.54774742,0.142177586,0.174401131,NA,NA,NA,0,14/02/2022,15m,10,10
334,0.001,0.580035714,0.476746049,0.188140049,0.232052432,NA,NA,NA,3,14/02/2022,15m,10,10
335,0.001,0.588107143,0.477875985,0.172879338,0.217501735,NA,NA,NA,0,14/02/2022,30m,10,10
336,0.001,0.286452381,0.113301843,0.143364344,0.175588721,NA,NA,NA,3,14/02/2022,30m,10,10
337,0.001,0.372725774,0.215505705,0.133431887,0.16563237,NA,NA,NA,0,03/02/2022,15-30m,10,10
338,0.001,0.377187646,0.220793298,0.126924625,0.156361083,NA,NA,NA,3,03/02/2022,15-30m,10,10
339,0.001,0.44806746,0.310560829,0.168689195,0.206138009,NA,NA,NA,0,03/02/2022,30m,10,10
340,0.001,0.293011905,0.119157035,0.153763071,0.18395293,NA,NA,NA,4,03/02/2022,30m,10,10
341,0.001,0.588539683,0.480197402,0.182177285,0.229116769,NA,NA,NA,0,03/02/2022,15m,10,10
342,0.001,0.556115079,0.44401827,0.177094592,0.218731964,NA,NA,NA,3,03/02/2022,15m,10,10
343,0.001,0.357452381,0.1975518,0.166911764,0.20471324,NA,NA,NA,0,03/05/2022,50m,10,10
344,0.001,0.454047619,0.314805734,0.190861053,0.232626442,NA,NA,NA,3,03/05/2022,50m,10,10
345,0.001,0.354082418,0.190230017,0.131043969,0.16521489,NA,NA,NA,0,19/01/2022,15-30m,10,10
346,0.001,0.325366966,0.156677922,0.125753328,0.159078941,NA,NA,NA,4,19/01/2022,15-30m,10,10
347,0.001,0.339107143,0.173095664,0.153830994,0.189020073,NA,NA,NA,0,19/01/2022,30m,10,10
348,0.001,0.35372619,0.197926814,0.153846839,0.183277013,NA,NA,NA,4,19/01/2022,30m,10,10
349,0.001,0.488261905,0.358360327,0.185686921,0.231028391,NA,NA,NA,0,19/01/2022,15m,10,10
350,0.001,0.414904762,0.272463365,0.191478206,0.235637104,NA,NA,NA,4,19/01/2022,15m,10,10
351,0.001,0.665898601,0.581468767,0.129958832,0.16268342,NA,NA,NA,0,09/03/2022,15-30m,10,10
352,0.001,0.658303197,0.572212479,0.114703144,0.142824712,NA,NA,NA,3,09/03/2022,15-30m,10,10
