"","mincriterion","Accuracy_train","Kappa_train","AccuracySD_train","KappaSD_train","Accuracy_test","AccuracyPValue_test","Kappa_test","PC","date","alt","k","repetitions","CV","split"
"324",0.05,0.275413958,0.095254964,0.104511159,0.128270639,NA,NA,NA,3,"26/05/2022","15-30-50m",10,10,"cv1010","nosplit_trainonly"
"325",0.05,0.313297619,0.150234203,0.168623931,0.200424272,NA,NA,NA,0,"26/05/2022","50m",10,10,"cv1010","nosplit_trainonly"
"326",0.05,0.207380952,0.017942544,0.140120493,0.170738913,NA,NA,NA,3,"26/05/2022","50m",10,10,"cv1010","nosplit_trainonly"
"327",0.05,0.184738095,0.004303163,0.094961292,0.114993768,NA,NA,NA,0,"26/05/2022","15m",10,10,"cv1010","nosplit_trainonly"
"328",0.05,0.197916667,-0.000837039,0.124475971,0.145645276,NA,NA,NA,3,"26/05/2022","15m",10,10,"cv1010","nosplit_trainonly"
"329",0.05,0.253547619,0.066807084,0.137102298,0.17014746,NA,NA,NA,0,"26/05/2022","30m",10,10,"cv1010","nosplit_trainonly"
"330",0.05,0.250059524,0.079070095,0.1282696,0.156921137,NA,NA,NA,3,"26/05/2022","30m",10,10,"cv1010","nosplit_trainonly"
"331",0.05,0.544314519,0.430096039,0.1258666,0.155265733,NA,NA,NA,0,"14/02/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"332",0.05,0.455784049,0.318895579,0.129855702,0.161504294,NA,NA,NA,3,"14/02/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"333",0.05,0.689285714,0.610947996,0.162651332,0.200582202,NA,NA,NA,0,"14/02/2022","15m",10,10,"cv1010","nosplit_trainonly"
"334",0.05,0.551452381,0.43782954,0.168994733,0.208752599,NA,NA,NA,3,"14/02/2022","15m",10,10,"cv1010","nosplit_trainonly"
"335",0.05,0.505702381,0.381605915,0.153305417,0.184279953,NA,NA,NA,0,"14/02/2022","30m",10,10,"cv1010","nosplit_trainonly"
"336",0.05,0.401547619,0.252045256,0.152988273,0.186724964,NA,NA,NA,3,"14/02/2022","30m",10,10,"cv1010","nosplit_trainonly"
"337",0.05,0.365274725,0.209534954,0.122143742,0.149024708,NA,NA,NA,0,"03/02/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"338",0.05,0.367423243,0.208242717,0.135096649,0.167867053,NA,NA,NA,3,"03/02/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"339",0.05,0.463654762,0.326633135,0.174048826,0.214123651,NA,NA,NA,0,"03/02/2022","30m",10,10,"cv1010","nosplit_trainonly"
"340",0.05,0.344547619,0.182727777,0.161727135,0.19897183,NA,NA,NA,4,"03/02/2022","30m",10,10,"cv1010","nosplit_trainonly"
"341",0.05,0.545015873,0.426584665,0.167286732,0.207736477,NA,NA,NA,0,"03/02/2022","15m",10,10,"cv1010","nosplit_trainonly"
"342",0.05,0.528345238,0.407927793,0.162852907,0.201605531,NA,NA,NA,3,"03/02/2022","15m",10,10,"cv1010","nosplit_trainonly"
"343",0.05,0.460551587,0.327027654,0.174613378,0.213781279,NA,NA,NA,0,"03/05/2022","50m",10,10,"cv1010","nosplit_trainonly"
"344",0.05,0.279246032,0.098106597,0.136638663,0.167030927,NA,NA,NA,3,"03/05/2022","50m",10,10,"cv1010","nosplit_trainonly"
"345",0.05,0.327243756,0.159892242,0.122086698,0.150568447,NA,NA,NA,0,"19/01/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"346",0.05,0.329817849,0.16259962,0.120228624,0.150659748,NA,NA,NA,4,"19/01/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"347",0.05,0.39340873,0.238338057,0.158269864,0.190840988,NA,NA,NA,0,"19/01/2022","30m",10,10,"cv1010","nosplit_trainonly"
"348",0.05,0.385285714,0.235707682,0.16065531,0.197661353,NA,NA,NA,4,"19/01/2022","30m",10,10,"cv1010","nosplit_trainonly"
"349",0.05,0.314345238,0.143687545,0.134534118,0.165806366,NA,NA,NA,0,"19/01/2022","15m",10,10,"cv1010","nosplit_trainonly"
"350",0.05,0.425142857,0.281046551,0.202217861,0.246387331,NA,NA,NA,4,"19/01/2022","15m",10,10,"cv1010","nosplit_trainonly"
"351",0.05,0.682970862,0.603134934,0.120048468,0.148737955,NA,NA,NA,0,"09/03/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"352",0.05,0.675260739,0.592294413,0.128730935,0.161816524,NA,NA,NA,3,"09/03/2022","15-30m",10,10,"cv1010","nosplit_trainonly"
"353",0.05,0.724619048,0.652142611,0.186406199,0.235900289,NA,NA,NA,0,"09/03/2022","15m",10,10,"cv1010","nosplit_trainonly"
"354",0.05,0.726007937,0.653796254,0.170282676,0.215282222,NA,NA,NA,2,"09/03/2022","15m",10,10,"cv1010","nosplit_trainonly"
"355",0.05,0.748309524,0.682224385,0.161499044,0.202056701,NA,NA,NA,0,"09/03/2022","30m",10,10,"cv1010","nosplit_trainonly"
"356",0.05,0.76575,0.703497839,0.162885618,0.205193323,NA,NA,NA,2,"09/03/2022","30m",10,10,"cv1010","nosplit_trainonly"
"357",0.05,0.290880952,0.121481941,0.120284129,0.150123139,NA,NA,NA,0,"02/06/2022","50m",10,10,"cv1010","nosplit_trainonly"
"358",0.05,0.15709127,-0.045542634,0.125394386,0.155381683,NA,NA,NA,2,"02/06/2022","50m",10,10,"cv1010","nosplit_trainonly"
"359",0.05,0.765043651,0.703759362,0.157124344,0.198140178,NA,NA,NA,0,"22/03/2022","50m",10,10,"cv1010","nosplit_trainonly"
"360",0.05,0.842702381,0.800857516,0.128610577,0.162618789,NA,NA,NA,2,"22/03/2022","50m",10,10,"cv1010","nosplit_trainonly"
"361",0.05,0.654599206,0.569659169,0.121716295,0.148777542,NA,NA,NA,0,"19/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"362",0.05,0.508738095,0.385895144,0.162149782,0.200268114,NA,NA,NA,3,"19/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"363",0.05,0.70697619,0.630419313,0.114963745,0.14307977,NA,NA,NA,0,"05/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"364",0.05,0.716384921,0.64227254,0.131612231,0.163738111,NA,NA,NA,4,"05/04/2022","50m",10,10,"cv1010","nosplit_trainonly"
"365",0.05,0.243951453,0.0562448,0.091282746,0.112567491,NA,NA,NA,0,"26/05/2022","15-30-50m",10,10,"cv1010","nosplit_trainonly"
"366",0.05,0.27815725,0.09789337,0.097077836,0.120225585,NA,NA,NA,3,"26/05/2022","15-30-50m",10,10,"cv1010","nosplit_trainonly"
"367",0.05,0.333369048,0.169268818,0.150628703,0.183947448,NA,NA,NA,0,"26/05/2022","50m",10,10,"cv1010","nosplit_trainonly"
"368",0.05,0.182849206,-0.012161221,0.129097555,0.152976916,NA,NA,NA,3,"26/05/2022","50m",10,10,"cv1010","nosplit_trainonly"
"369",0.05,0.197123016,0.026913371,0.107750939,0.124947792,NA,NA,NA,0,"26/05/2022","15m",10,10,"cv1010","nosplit_trainonly"
"370",0.05,0.193821429,-0.004897142,0.145200408,0.17944347,NA,NA,NA,3,"26/05/2022","15m",10,10,"cv1010","nosplit_trainonly"
"371",0.05,0.226873016,0.045236026,0.138970785,0.161045987,NA,NA,NA,0,"26/05/2022","30m",10,10,"cv1010","nosplit_trainonly"
"372",0.05,0.270738095,0.107400569,0.116547236,0.141270788,NA,NA,NA,3,"26/05/2022","30m",10,10,"cv1010","nosplit_trainonly"
