"","mincriterion","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC"
"94",0.05,0.31500616050616,0.143774190811763,0.119752245957004,0.146043040193823,"2022-01-19","15-30m",4
"95",0.05,0.356559523809524,0.192251673703646,0.149428821489599,0.181599178649338,"2022-01-19","30m",0
"96",0.05,0.379547619047619,0.221852384261963,0.154480947103306,0.192866380349345,"2022-01-19","30m",4
"97",0.05,0.305178571428571,0.131208700148052,0.134979655094565,0.162663976766597,"2022-01-19","15m",0
"98",0.05,0.444261904761905,0.301758115836729,0.196139458113406,0.24300827343497,"2022-01-19","15m",4
"99",0.05,0.697994172494173,0.620945607458043,0.107015560224401,0.134185168453555,"2022-03-09","15-30m",0
"100",0.05,0.670212454212454,0.586193610191839,0.0993022906414694,0.123914870906233,"2022-03-09","15-30m",3
"101",0.05,0.714869047619048,0.641669954691956,0.187775885201101,0.232760305602004,"2022-03-09","15m",0
"102",0.05,0.731642857142857,0.66076479295389,0.158569650087454,0.198389459426248,"2022-03-09","15m",2
"103",0.05,0.739571428571429,0.672190576522754,0.174673006645579,0.218243431146441,"2022-03-09","30m",0
"104",0.05,0.769571428571429,0.708069918734234,0.156992592899301,0.199049423162608,"2022-03-09","30m",2
"105",0.05,0.292690476190476,0.122708844515171,0.116474355836236,0.137087621426313,"2022-06-02","50m",0
"106",0.05,0.145392857142857,-0.0591979079159486,0.111910218440751,0.139859452157191,"2022-06-02","50m",2
"107",0.05,0.780642857142857,0.722358787047524,0.141787483698148,0.17869309120729,"2022-03-22","50m",0
"108",0.05,0.850869047619048,0.810179906095401,0.114561062877013,0.145617607800986,"2022-03-22","50m",2
"109",0.05,0.656380952380952,0.572195564195439,0.13741503291484,0.166042962685317,"2022-04-19","50m",0
"110",0.05,0.495305555555556,0.370832625540475,0.165061818565496,0.202745168451055,"2022-04-19","50m",3
"111",0.05,0.71790873015873,0.643314300914771,0.105007668505513,0.130653821173549,"2022-04-05","50m",0
"112",0.05,0.694630952380952,0.613812433030973,0.140668814767638,0.17630723284466,"2022-04-05","50m",4
"113",0.05,0.236430340557276,0.0454777571382266,0.0815899573268658,0.104975537050062,"2022-05-26","15-30-50m",0
"114",0.05,0.272145725834193,0.0912591380207523,0.103948968361078,0.129012590357888,"2022-05-26","15-30-50m",3
"115",0.05,0.312440476190476,0.142467190370018,0.166010128486956,0.206646508329696,"2022-05-26","50m",0
"116",0.05,0.185642857142857,-0.00985109634438826,0.112185184345822,0.141702105390447,"2022-05-26","50m",3
"117",0.05,0.180730158730159,0.00209143522600442,0.0987352663282314,0.11837566043173,"2022-05-26","15m",0
"118",0.05,0.199857142857143,0.00910206530698864,0.144413051787427,0.174248172946976,"2022-05-26","15m",3
"119",0.05,0.24934126984127,0.0703022354307077,0.149615557620313,0.180933160964147,"2022-05-26","30m",0
"120",0.05,0.26252380952381,0.0964291888518461,0.125491598430782,0.153309813800513,"2022-05-26","30m",3
"121",0.05,0.533042624042624,0.414627100004069,0.138003444023888,0.172055370801801,"2022-02-14","15-30m",0
"122",0.05,0.466482683982684,0.331730401872897,0.128397398580992,0.159257083242165,"2022-02-14","15-30m",3
"123",0.05,0.684420634920635,0.603716293861421,0.182959096870318,0.228355211569347,"2022-02-14","15m",0
"124",0.05,0.55477380952381,0.44404448205709,0.169734823134832,0.205747333997853,"2022-02-14","15m",3
"125",0.05,0.506511904761905,0.382455900624809,0.158293341300267,0.194336105859842,"2022-02-14","30m",0
"126",0.05,0.399853174603175,0.248851594674227,0.140431340382184,0.17460796527726,"2022-02-14","30m",3
"127",0.05,0.369410922410922,0.211531860283807,0.122492801150193,0.152300131321204,"2022-02-03","15-30m",0
"128",0.05,0.382435397935398,0.228255351988903,0.125733592958531,0.154899030346669,"2022-02-03","15-30m",3
"129",0.05,0.486892857142857,0.352754877203249,0.148299848195102,0.189483748240767,"2022-02-03","30m",0
"130",0.05,0.335253968253968,0.170944181542041,0.156427234700316,0.193575640322827,"2022-02-03","30m",4
"131",0.05,0.545253968253968,0.428655182087299,0.181333947887878,0.225646841156544,"2022-02-03","15m",0
"132",0.05,0.512357142857143,0.391467641032691,0.179345187508763,0.218282072492451,"2022-02-03","15m",3
"133",0.05,0.465119047619048,0.332237397959308,0.175219176062704,0.214949698012574,"2022-05-03","50m",0
"134",0.05,0.2865,0.111262244780703,0.144703201702879,0.176610799365824,"2022-05-03","50m",3
"135",0.05,0.330083416583417,0.165123308816681,0.114242193411103,0.139232026103892,"2022-01-19","15-30m",0
"136",0.05,0.317452047952048,0.145746198629739,0.1420925100338,0.175126785560647,"2022-01-19","15-30m",4
"137",0.05,0.382246031746032,0.226234126046832,0.175136885446671,0.211270785398417,"2022-01-19","30m",0
"138",0.05,0.366761904761905,0.209122995293023,0.194969377128358,0.239761887153799,"2022-01-19","30m",4
"139",0.05,0.288416666666667,0.11078763060454,0.153296598029462,0.189171764791451,"2022-01-19","15m",0
"140",0.05,0.437309523809524,0.294929552017599,0.19540397140551,0.242618655300329,"2022-01-19","15m",4
"141",0.05,0.690182151182151,0.610604131729781,0.116437056565604,0.145841892065911,"2022-03-09","15-30m",0
"142",0.05,0.670359806859807,0.587073869689221,0.119580530781281,0.149282573049974,"2022-03-09","15-30m",3
"143",0.05,0.715964285714286,0.641149632986929,0.186674812130862,0.235601780881598,"2022-03-09","15m",0
"144",0.05,0.73352380952381,0.665486822159866,0.156472556289453,0.193440802669932,"2022-03-09","15m",2
"145",0.05,0.739904761904762,0.673353575906139,0.171779816261899,0.213189927324246,"2022-03-09","30m",0
"146",0.05,0.775619047619048,0.716683909725782,0.156242911839042,0.194566053153487,"2022-03-09","30m",2
"147",0.05,0.28634126984127,0.118958573411322,0.10667652153192,0.124777511868301,"2022-06-02","50m",0
"148",0.05,0.140464285714286,-0.0752238039230048,0.10318577126258,0.133921712917673,"2022-06-02","50m",2
"149",0.05,0.742027777777778,0.673635797270871,0.14805160625387,0.186480545943995,"2022-03-22","50m",0
"150",0.05,0.853615079365079,0.814383843095818,0.121787140508832,0.154702242423383,"2022-03-22","50m",2
"151",0.05,0.664738095238095,0.580966347976719,0.121958376501352,0.149476028369459,"2022-04-19","50m",0
"152",0.05,0.496880952380952,0.377258710393324,0.164107663307736,0.198563428583267,"2022-04-19","50m",3
"153",0.05,0.718170634920635,0.645723894696207,0.131928698514723,0.161197117228377,"2022-04-05","50m",0
"154",0.05,0.703511904761905,0.624858702143102,0.127256244218756,0.158291412347792,"2022-04-05","50m",4
"155",0.05,0.233539430684555,0.0433927058891378,0.0980284615615338,0.120124508780476,"2022-05-26","15-30-50m",0
"156",0.05,0.295628955968352,0.120426172179143,0.0974936863944556,0.121008863993686,"2022-05-26","15-30-50m",3
"157",0.05,0.312714285714286,0.142949133264184,0.163081139256421,0.196789584339729,"2022-05-26","50m",0
