mincriterion,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
0.05,0.430146825,0.285294457,0.205411402,0.25478048,NA,NA,NA,4,19/01/2022,15m,10,10
0.05,0.687517649,0.60774298,0.108528915,0.136240859,NA,NA,NA,0,09/03/2022,15-30m,10,10
0.05,0.657662504,0.570372798,0.11663285,0.146098576,NA,NA,NA,3,09/03/2022,15-30m,10,10
0.05,0.72772619,0.657222669,0.19556567,0.242140843,NA,NA,NA,0,09/03/2022,15m,10,10
0.05,0.723285714,0.651460288,0.134639947,0.167584748,NA,NA,NA,2,09/03/2022,15m,10,10
0.05,0.749166667,0.682805219,0.133742362,0.167621216,NA,NA,NA,0,09/03/2022,30m,10,10
0.05,0.763130952,0.70019546,0.160140064,0.201127682,NA,NA,NA,2,09/03/2022,30m,10,10
0.05,0.274916667,0.103307029,0.111760657,0.136109502,NA,NA,NA,0,02/06/2022,50m,10,10
0.05,0.137785714,-0.068765541,0.102838923,0.12828994,NA,NA,NA,2,02/06/2022,50m,10,10
0.05,0.775654762,0.716860826,0.137084066,0.173286735,NA,NA,NA,0,22/03/2022,50m,10,10
0.05,0.845880952,0.805327574,0.120060437,0.150605763,NA,NA,NA,2,22/03/2022,50m,10,10
0.05,0.662396825,0.579214817,0.122778287,0.15085226,NA,NA,NA,0,19/04/2022,50m,10,10
0.05,0.514218254,0.396319423,0.183497957,0.222806852,NA,NA,NA,3,19/04/2022,50m,10,10
0.05,0.716734127,0.642906115,0.119533228,0.14801022,NA,NA,NA,0,05/04/2022,50m,10,10
0.05,0.694265873,0.615451753,0.135717208,0.168040064,NA,NA,NA,4,05/04/2022,50m,10,10
0.05,0.218617303,0.024867548,0.091846658,0.112601499,NA,NA,NA,0,26/05/2022,15-30-50m,10,10
0.05,0.279303019,0.100091201,0.104165037,0.129814113,NA,NA,NA,3,26/05/2022,15-30-50m,10,10
0.05,0.334134921,0.174632098,0.168318118,0.205233831,NA,NA,NA,0,26/05/2022,50m,10,10
0.05,0.177654762,-0.020146969,0.136670267,0.167839841,NA,NA,NA,3,26/05/2022,50m,10,10
0.05,0.166821429,-0.017839542,0.09101644,0.111753342,NA,NA,NA,0,26/05/2022,15m,10,10
0.05,0.200238095,0.00627212,0.125814645,0.152623838,NA,NA,NA,3,26/05/2022,15m,10,10
0.05,0.230753968,0.04217606,0.131011454,0.163658466,NA,NA,NA,0,26/05/2022,30m,10,10
0.05,0.259035714,0.091855377,0.113955689,0.141717502,NA,NA,NA,3,26/05/2022,30m,10,10
0.05,0.534808858,0.416566708,0.121509997,0.151009118,NA,NA,NA,0,14/02/2022,15-30m,10,10
0.05,0.44538961,0.304690384,0.122540427,0.152577875,NA,NA,NA,3,14/02/2022,15-30m,10,10
0.05,0.694960317,0.617800764,0.165484005,0.202950444,NA,NA,NA,0,14/02/2022,15m,10,10
0.05,0.555321429,0.443041358,0.151080882,0.184989001,NA,NA,NA,3,14/02/2022,15m,10,10
0.05,0.503511905,0.381219102,0.159862248,0.193750205,NA,NA,NA,0,14/02/2022,30m,10,10
0.05,0.393444444,0.239897135,0.151638546,0.184271394,NA,NA,NA,3,14/02/2022,30m,10,10
0.05,0.352812521,0.190885231,0.113206524,0.143671877,NA,NA,NA,0,03/02/2022,15-30m,10,10
0.05,0.350108392,0.186779637,0.116634375,0.144312875,NA,NA,NA,3,03/02/2022,15-30m,10,10
0.05,0.470214286,0.334308007,0.171790525,0.211081731,NA,NA,NA,0,03/02/2022,30m,10,10
0.05,0.349563492,0.185431881,0.156863224,0.191031019,NA,NA,NA,4,03/02/2022,30m,10,10
0.05,0.549964286,0.43698329,0.151920908,0.18578452,NA,NA,NA,0,03/02/2022,15m,10,10
0.05,0.524496032,0.401965507,0.165357449,0.208025411,NA,NA,NA,3,03/02/2022,15m,10,10
0.05,0.468662698,0.332692106,0.174265505,0.217703873,NA,NA,NA,0,03/05/2022,50m,10,10
0.05,0.277202381,0.103644437,0.134616559,0.165801184,NA,NA,NA,3,03/05/2022,50m,10,10
0.05,0.320219114,0.151757736,0.1308817,0.161917463,NA,NA,NA,0,19/01/2022,15-30m,10,10
0.05,0.325750583,0.156912857,0.129137555,0.161586731,NA,NA,NA,4,19/01/2022,15-30m,10,10
0.05,0.385107143,0.232252691,0.144206936,0.180411963,NA,NA,NA,0,19/01/2022,30m,10,10
0.05,0.367789683,0.206401244,0.161288565,0.198772667,NA,NA,NA,4,19/01/2022,30m,10,10
0.05,0.304904762,0.137968543,0.162330055,0.197728879,NA,NA,NA,0,19/01/2022,15m,10,10
0.05,0.439956349,0.299056269,0.196118228,0.244361272,NA,NA,NA,4,19/01/2022,15m,10,10
0.05,0.69437679,0.615882902,0.125570429,0.157156691,NA,NA,NA,0,09/03/2022,15-30m,10,10
0.05,0.677807026,0.595215605,0.13885256,0.174117077,NA,NA,NA,3,09/03/2022,15-30m,10,10
0.05,0.716714286,0.642427541,0.17865085,0.223704716,NA,NA,NA,0,09/03/2022,15m,10,10
0.05,0.720884921,0.649362284,0.15973772,0.198044027,NA,NA,NA,2,09/03/2022,15m,10,10
0.05,0.744222222,0.676021185,0.144104981,0.181343565,NA,NA,NA,0,09/03/2022,30m,10,10
0.05,0.77552381,0.716104548,0.17007697,0.213255261,NA,NA,NA,2,09/03/2022,30m,10,10
0.05,0.295178571,0.130604606,0.112676102,0.133168351,NA,NA,NA,0,02/06/2022,50m,10,10
0.05,0.161353175,-0.042205081,0.12753806,0.155066699,NA,NA,NA,2,02/06/2022,50m,10,10
0.05,0.785095238,0.728302936,0.160353108,0.200534161,NA,NA,NA,0,22/03/2022,50m,10,10
0.05,0.838361111,0.796435495,0.123097953,0.15404301,NA,NA,NA,2,22/03/2022,50m,10,10
0.05,0.668797619,0.584771679,0.134249913,0.165614996,NA,NA,NA,0,19/04/2022,50m,10,10
0.05,0.535746032,0.42045198,0.178036134,0.219256518,NA,NA,NA,3,19/04/2022,50m,10,10
0.05,0.708583333,0.633139266,0.137739243,0.169958134,NA,NA,NA,0,05/04/2022,50m,10,10
0.05,0.685694444,0.604374035,0.143428961,0.177105119,NA,NA,NA,4,05/04/2022,50m,10,10
0.05,0.237851866,0.047204917,0.085171708,0.103812374,NA,NA,NA,0,26/05/2022,15-30-50m,10,10
0.05,0.283308136,0.103856408,0.092865151,0.116199536,NA,NA,NA,3,26/05/2022,15-30-50m,10,10
0.05,0.310849206,0.147564416,0.168759726,0.20747473,NA,NA,NA,0,26/05/2022,50m,10,10
0.05,0.1925,-0.000940724,0.135755365,0.167786291,NA,NA,NA,3,26/05/2022,50m,10,10
0.05,0.190130952,0.007785755,0.096200538,0.1113676,NA,NA,NA,0,26/05/2022,15m,10,10
0.05,0.201547619,0.002599376,0.136320459,0.164022962,NA,NA,NA,3,26/05/2022,15m,10,10
0.05,0.235623016,0.04861128,0.161987127,0.19762426,NA,NA,NA,0,26/05/2022,30m,10,10
0.05,0.273369048,0.107602928,0.118555338,0.143847561,NA,NA,NA,3,26/05/2022,30m,10,10
0.05,0.539568099,0.424231966,0.126947243,0.155920477,NA,NA,NA,0,14/02/2022,15-30m,10,10
0.05,0.466138195,0.331974402,0.117475074,0.146543488,NA,NA,NA,3,14/02/2022,15-30m,10,10
0.05,0.697170635,0.620997871,0.16230448,0.197506757,NA,NA,NA,0,14/02/2022,15m,10,10
0.05,0.544428571,0.42714834,0.146248416,0.181588518,NA,NA,NA,3,14/02/2022,15m,10,10
0.05,0.518119048,0.390986891,0.149766722,0.186166771,NA,NA,NA,0,14/02/2022,30m,10,10
0.05,0.399761905,0.249015077,0.1209008,0.148898291,NA,NA,NA,3,14/02/2022,30m,10,10
0.05,0.372690976,0.214604879,0.117551463,0.146618071,NA,NA,NA,0,03/02/2022,15-30m,10,10
0.05,0.365115385,0.205275805,0.123462646,0.154329103,NA,NA,NA,3,03/02/2022,15-30m,10,10
0.05,0.468833333,0.333206724,0.148256682,0.180706668,NA,NA,NA,0,03/02/2022,30m,10,10
0.05,0.354380952,0.192139163,0.173393247,0.213207821,NA,NA,NA,4,03/02/2022,30m,10,10
0.05,0.548174603,0.431823395,0.148242321,0.186095192,NA,NA,NA,0,03/02/2022,15m,10,10
0.05,0.51702381,0.393237555,0.177303782,0.220975787,NA,NA,NA,3,03/02/2022,15m,10,10
0.05,0.462825397,0.330044069,0.171367154,0.208806113,NA,NA,NA,0,03/05/2022,50m,10,10
0.05,0.282404762,0.102916813,0.144472051,0.177042806,NA,NA,NA,3,03/05/2022,50m,10,10
0.05,0.325022644,0.157987322,0.116708996,0.144102862,NA,NA,NA,0,19/01/2022,15-30m,10,10
0.05,0.337114885,0.168185395,0.114662113,0.141865952,NA,NA,NA,4,19/01/2022,15-30m,10,10
0.05,0.376956349,0.217407248,0.152442602,0.189302676,NA,NA,NA,0,19/01/2022,30m,10,10
0.05,0.378769841,0.22173635,0.170705616,0.212717038,NA,NA,NA,4,19/01/2022,30m,10,10
0.05,0.286392857,0.112248716,0.115703544,0.140864623,NA,NA,NA,0,19/01/2022,15m,10,10
