"","mincriterion","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC","k","repetitions"
"89",0.05,0.519150793650794,0.397998481660186,0.154679265932463,0.187847708953851,"2022-02-14","15-30m",0,10,10
"90",0.05,0.410583333333333,0.264147038745252,0.144470794161174,0.177458137613186,"2022-02-14","15-30m",4,10,10
"91",0.05,0.321809523809524,0.164787148640784,0.108460694523774,0.125562204341309,"2022-01-19","30m",0,10,10
"92",0.05,0.36397619047619,0.209347031316932,0.147900360746823,0.181262971107444,"2022-01-19","30m",4,10,10
"93",0.05,0.338071428571429,0.174340942120748,0.114835286265445,0.125487301326129,"2022-01-19","15m",0,10,10
"94",0.05,0.441547619047619,0.297665758306237,0.189733588800383,0.235562727775746,"2022-01-19","15m",4,10,10
"95",0.05,0.345857142857143,0.175762898358919,0.155727597238128,0.199368143018827,"2022-01-19","15-30m",0,10,10
"96",0.05,0.441547619047619,0.297665758306237,0.189733588800383,0.235562727775746,"2022-01-19","15-30m",6,10,10
"97",0.05,0.535857142857143,0.420715513964983,0.15712411522617,0.187791816713492,"2022-02-03","15m",0,10,10
"98",0.05,0.51197619047619,0.389815486152491,0.189869375220988,0.235206803435313,"2022-02-03","15m",3,10,10
"99",0.05,0.466261904761905,0.33255186104144,0.172476904870649,0.207932177444296,"2022-02-03","30m",0,10,10
"100",0.05,0.347079365079365,0.179998153390838,0.171339553206365,0.212027403624054,"2022-02-03","30m",4,10,10
"101",0.05,0.395809523809524,0.239440729378371,0.167933879007347,0.208409946499377,"2022-02-03","15-30m",0,10,10
"102",0.05,0.347079365079365,0.179998153390838,0.171339553206365,0.212027403624054,"2022-02-03","15-30m",6,10,10
"103",0.05,0.69177380952381,0.613863378991634,0.164757158549889,0.204731216165272,"2022-03-09","15m",0,10,10
"104",0.05,0.725642857142857,0.655119703738696,0.154380372938971,0.191578853145259,"2022-03-09","15m",2,10,10
"105",0.05,0.755396825396825,0.691705476104235,0.144087282875839,0.179274708348156,"2022-03-09","30m",0,10,10
"106",0.05,0.762119047619048,0.699314826033989,0.164600361978695,0.206648098256549,"2022-03-09","30m",2,10,10
"107",0.05,0.820261904761905,0.772186973286472,0.143312763493748,0.180795097414099,"2022-03-09","15-30m",0,10,10
"108",0.05,0.762119047619048,0.699314826033989,0.164600361978695,0.206648098256549,"2022-03-09","15-30m",3,10,10
"109",0.05,0.313261904761905,0.156620043863285,0.107531498120426,0.120401314271111,"2022-06-02","50m",0,10,10
"110",0.05,0.147253968253968,-0.0606617575134383,0.1284400349401,0.156289874135119,"2022-06-02","50m",2,10,10
"111",0.05,0.168892857142857,-0.00277757247269442,0.0293029328539047,0.0193185744182993,"2022-05-26","15m",0,10,10
"112",0.05,0.193142857142857,-0.003911748124523,0.131868773123464,0.166221284396166,"2022-05-26","15m",3,10,10
"113",0.05,0.28281746031746,0.117313608426151,0.12655797073046,0.142395501355961,"2022-05-26","50m",0,10,10
"114",0.05,0.194214285714286,0.00261499797241795,0.136971930738087,0.161240197448325,"2022-05-26","50m",3,10,10
"115",0.05,0.159202380952381,-0.0199253097215592,0.0572181780227344,0.0724334164868301,"2022-05-26","30m",0,10,10
"116",0.05,0.267166666666667,0.10167742858028,0.122814640138077,0.152277136387551,"2022-05-26","30m",3,10,10
"117",0.05,0.220083333333333,0.0267224024731755,0.149398752152384,0.184173494241957,"2022-05-26","15-30-50m",0,10,10
"118",0.05,0.267166666666667,0.10167742858028,0.122814640138077,0.152277136387551,"2022-05-26","15-30-50m",5,10,10
"119",0.05,0.774142857142857,0.714796687729061,0.157173197327585,0.197664123590199,"2022-03-22","50m",0,10,10
"120",0.05,0.842246031746032,0.801113285802695,0.144388475670205,0.180163539334568,"2022-03-22","50m",2,10,10
"121",0.05,0.658698412698413,0.575900848996075,0.131769882574806,0.159730804235015,"2022-04-19","50m",0,10,10
"122",0.05,0.517107142857143,0.398832755596756,0.178621578255444,0.21997017841264,"2022-04-19","50m",3,10,10
"123",0.05,0.751202380952381,0.686639544630615,0.0967890924712193,0.118908551071592,"2022-04-05","50m",0,10,10
"124",0.05,0.696035714285714,0.618219572712662,0.156083825490408,0.192469573658393,"2022-04-05","50m",4,10,10
"125",0.05,0.47118253968254,0.342368110774503,0.144713839586575,0.171615403405104,"2022-05-03","50m",0,10,10
"126",0.05,0.289111111111111,0.115936364474128,0.163734673147715,0.196412600940689,"2022-05-03","50m",3,10,10
"127",0.05,0.698845238095238,0.61885864301279,0.155504697545747,0.195561429545545,"2022-02-14","15m",0,10,10
"128",0.05,0.557111111111111,0.443502599062047,0.161604198326376,0.19808841857512,"2022-02-14","15m",3,10,10
