"","contrast","estimate","SE","df","t.ratio","p.value"
"95","(02/06/2022_50m_PC_8020split) - (03/02/2022_30m_PC_8020split)",-0.0583333331999992,0.046734894488679,756,-1.24817513419506,1
"96","(02/06/2022_50m_PC_8020split) - (03/02/2022_30m_var_7030split)",-0.124999999799994,0.0467348944886792,756,-2.67466100368051,1
"97","(02/06/2022_50m_PC_8020split) - (03/02/2022_30m_var_8020split)",-0.149999999899998,0.0467348944886792,756,-3.20959320741236,1
"98","(02/06/2022_50m_PC_8020split) - (03/05/2022_50m_PC_7030split)",-0.0805555554999925,0.0467348944886793,756,-1.72367042616317,1
"99","(02/06/2022_50m_PC_8020split) - (03/05/2022_50m_PC_8020split)",-0.0333333333000023,0.0467348944886792,756,-0.713242934742834,1
"100","(02/06/2022_50m_PC_8020split) - (03/05/2022_50m_var_7030split)",-0.0916666663999949,0.0467348944886793,756,-1.96141806679802,1
"101","(02/06/2022_50m_PC_8020split) - (03/05/2022_50m_var_8020split)",-0.066666666599996,0.0467348944886792,756,-1.42648586948549,1
"102","(02/06/2022_50m_PC_8020split) - (05/04/2022_50m_PC_7030split)",-0.452777777899996,0.0467348944886792,756,-9.68821654255952,1.84681303671797e-17
"103","(02/06/2022_50m_PC_8020split) - (05/04/2022_50m_PC_8020split)",-0.424999999800002,0.0467348944886791,756,-9.09384742278498,2.89158780707489e-15
"104","(02/06/2022_50m_PC_8020split) - (05/04/2022_50m_var_7030split)",-0.530555555400011,0.0467348944886793,756,-11.3524500526802,3.79496972729284e-24
"105","(02/06/2022_50m_PC_8020split) - (05/04/2022_50m_var_8020split)",-0.5166666667,0.0467348944886792,756,-11.0552655002817,6.74542742116263e-23
"106","(02/06/2022_50m_PC_8020split) - (09/03/2022_15-30m_PC_7030split)",-0.402777777600007,0.0467348944886795,756,-8.61835213295647,1.37575978449398e-13
"107","(02/06/2022_50m_PC_8020split) - (09/03/2022_15-30m_PC_8020split)",-0.33333333329999,0.0467348944886791,756,-7.13242935384685,8.05505751798947e-09
"108","(02/06/2022_50m_PC_8020split) - (09/03/2022_15-30m_var_7030split)",-0.474999999900005,0.0467348944886793,756,-10.1637118281088,2.72325376993144e-19
"109","(02/06/2022_50m_PC_8020split) - (09/03/2022_15-30m_var_8020split)",-0.454166666599994,0.0467348944886791,756,-9.71793499416179,1.42528767047807e-17
"110","(02/06/2022_50m_PC_8020split) - (09/03/2022_15m_PC_7030split)",-0.436111111099997,0.0467348944886797,756,-9.33159507197846,3.94546664333577e-16
"111","(02/06/2022_50m_PC_8020split) - (09/03/2022_15m_PC_8020split)",-0.416666666600003,0.0467348944886792,756,-8.91553669177394,1.2544991605965e-14
"112","(02/06/2022_50m_PC_8020split) - (09/03/2022_15m_var_7030split)",-0.524999999900003,0.0467348944886792,756,-11.2335762312928,1.20756585993334e-23
"113","(02/06/2022_50m_PC_8020split) - (09/03/2022_15m_var_8020split)",-0.416666666599997,0.0467348944886792,756,-8.91553669177381,1.25449916059785e-14
"114","(02/06/2022_50m_PC_8020split) - (09/03/2022_30m_PC_7030split)",-0.4416666666,0.0467348944886793,756,-9.45046889336588,1.43588536122783e-16
"115","(02/06/2022_50m_PC_8020split) - (09/03/2022_30m_PC_8020split)",-0.474999999900008,0.0467348944886794,756,-10.1637118281088,2.72325376993049e-19
"116","(02/06/2022_50m_PC_8020split) - (09/03/2022_30m_var_7030split)",-0.547222222000014,0.0467348944886795,756,-11.7090715189817,1.12010567657148e-25
"117","(02/06/2022_50m_PC_8020split) - (09/03/2022_30m_var_8020split)",-0.516666666699999,0.0467348944886792,756,-11.0552655002817,6.74542742116444e-23
"118","(02/06/2022_50m_PC_8020split) - (14/02/2022_15-30m_PC_7030split)",-0.238888888800002,0.0467348944886794,756,-5.11157436886625,0.00141217445055582
"119","(02/06/2022_50m_PC_8020split) - (14/02/2022_15-30m_PC_8020split)",-0.154166666499999,0.0467348944886793,756,-3.2987485729179,1
"120","(02/06/2022_50m_PC_8020split) - (14/02/2022_15-30m_var_7030split)",-0.277777777599996,0.046734894488679,756,-5.94369112499621,1.48274564694867e-05
"121","(02/06/2022_50m_PC_8020split) - (14/02/2022_15-30m_var_8020split)",-0.262499999899999,0.0467348944886792,756,-5.61678811457647,9.53198052451906e-05
"122","(02/06/2022_50m_PC_8020split) - (14/02/2022_15m_PC_7030split)",-0.1194444443,0.0467348944886793,756,-2.55578718229338,1
"123","(02/06/2022_50m_PC_8020split) - (14/02/2022_15m_PC_8020split)",-0.124999999999998,0.0467348944886792,756,-2.67466100796006,1
"124","(02/06/2022_50m_PC_8020split) - (14/02/2022_15m_var_7030split)",-0.274999999900005,0.0467348944886794,756,-5.88425421537258,2.09375933984496e-05
"125","(02/06/2022_50m_PC_8020split) - (14/02/2022_15m_var_8020split)",-0.341666666699998,0.0467348944886792,756,-7.3107400891375,2.3619498349032e-09
"126","(02/06/2022_50m_PC_8020split) - (14/02/2022_30m_PC_7030split)",-0.0916666664999995,0.046734894488679,756,-1.96141806893786,1
"127","(02/06/2022_50m_PC_8020split) - (14/02/2022_30m_PC_8020split)",-0.0666666666999987,0.0467348944886793,756,-1.42648587162527,1
"128","(02/06/2022_50m_PC_8020split) - (14/02/2022_30m_var_7030split)",-0.291666666599993,0.0467348944886791,756,-6.24087568381364,2.52576228756655e-06
"129","(02/06/2022_50m_PC_8020split) - (14/02/2022_30m_var_8020split)",-0.3416666666,0.0467348944886792,756,-7.3107400869978,2.36194987003301e-09
"130","(02/06/2022_50m_PC_8020split) - (19/01/2022_15-30m_PC_7030split)",-0.108333333199999,0.0467348944886792,756,-2.3180395373791,1
"131","(02/06/2022_50m_PC_8020split) - (19/01/2022_15-30m_PC_8020split)",-0.0791666665999972,0.0467348944886791,756,-1.69395197028153,1
"132","(02/06/2022_50m_PC_8020split) - (19/01/2022_15-30m_var_7030split)",-0.113888888799995,0.046734894488679,756,-2.43691336090603,1
"133","(02/06/2022_50m_PC_8020split) - (19/01/2022_15-30m_var_8020split)",-0.149999999999998,0.0467348944886792,756,-3.20959320955209,1
"134","(02/06/2022_50m_PC_8020split) - (19/01/2022_15m_PC_7030split)",-0.163888888899993,0.0467348944886789,756,-3.50677776622976,1
"135","(02/06/2022_50m_PC_8020split) - (19/01/2022_15m_PC_8020split)",-0.116666666699999,0.0467348944886792,756,-2.49635027480932,1
"136","(02/06/2022_50m_PC_8020split) - (19/01/2022_15m_var_7030split)",-0.136111110999998,0.0467348944886791,756,-2.9124086507346,1
"137","(02/06/2022_50m_PC_8020split) - (19/01/2022_15m_var_8020split)",-0.1166666665,0.0467348944886792,756,-2.49635027052988,1
"138","(02/06/2022_50m_PC_8020split) - (19/01/2022_30m_PC_7030split)",-0.136111111,0.0467348944886793,756,-2.91240865073464,1
"139","(02/06/2022_50m_PC_8020split) - (19/01/2022_30m_PC_8020split)",-0.0833333332999975,0.0467348944886792,756,-1.78310733792677,1
"140","(02/06/2022_50m_PC_8020split) - (19/01/2022_30m_var_7030split)",-0.202777777699998,0.0467348944886791,756,-4.33889452235991,0.0567003667744496
"141","(02/06/2022_50m_PC_8020split) - (19/01/2022_30m_var_8020split)",-0.158333333299998,0.0467348944886792,756,-3.38790394270286,1
"142","(02/06/2022_50m_PC_8020split) - (19/04/2022_50m_PC_7030split)",-0.363888888899994,0.0467348944886791,756,-7.78623537896595,7.92957886657186e-11
"143","(02/06/2022_50m_PC_8020split) - (19/04/2022_50m_PC_8020split)",-0.299999999999998,0.0467348944886792,756,-6.41918641910421,8.42951915058211e-07
"144","(02/06/2022_50m_PC_8020split) - (19/04/2022_50m_var_7030split)",-0.447222222099995,0.0467348944886791,756,-9.56934271475307,5.1746691651296e-17
"145","(02/06/2022_50m_PC_8020split) - (19/04/2022_50m_var_8020split)",-0.416666666599998,0.0467348944886792,756,-8.91553669177384,1.25449916059749e-14
"146","(02/06/2022_50m_PC_8020split) - (22/03/2022_50m_PC_7030split)",-0.563888888699997,0.0467348944886792,756,-12.0656929874227,3.0714212897089e-27
"147","(02/06/2022_50m_PC_8020split) - (22/03/2022_50m_PC_8020split)",-0.633333333299997,0.0467348944886792,756,-13.5516157729512,4.54695615458258e-34
"148","(02/06/2022_50m_PC_8020split) - (22/03/2022_50m_var_7030split)",-0.6027777775,0.0467348944886792,756,-12.8978097435528,5.29970661939196e-31
"149","(02/06/2022_50m_PC_8020split) - (22/03/2022_50m_var_8020split)",-0.633333333399998,0.0467348944886792,756,-13.551615775091,4.54695604793298e-34
"150","(02/06/2022_50m_PC_8020split) - (26/05/2022_15-30-50m_PC_7030split)",0.0533164983000044,0.0467348944886791,756,1.14082847267195,1
"151","(02/06/2022_50m_PC_8020split) - (26/05/2022_15-30-50m_PC_8020split)",0.077777777900001,0.0467348944886792,756,1.66423351867931,1
"152","(02/06/2022_50m_PC_8020split) - (26/05/2022_15-30-50m_var_7030split)",-0.00156565659999908,0.0467348944886793,756,-0.0335008052789835,1
"153","(02/06/2022_50m_PC_8020split) - (26/05/2022_15-30-50m_var_8020split)",0.0166666665000011,0.0467348944886792,756,0.356621464161824,1
"154","(02/06/2022_50m_PC_8020split) - (26/05/2022_15m_PC_7030split)",0.1305555554,0.0467348944886791,756,2.79353482720766,1
"155","(02/06/2022_50m_PC_8020split) - (26/05/2022_15m_PC_8020split)",0.116666666700002,0.0467348944886792,756,2.49635027480938,1
"156","(02/06/2022_50m_PC_8020split) - (26/05/2022_15m_var_7030split)",0.0472222223000015,0.0467348944886792,756,1.01042749356031,1
"157","(02/06/2022_50m_PC_8020split) - (26/05/2022_15m_var_8020split)",0.0833333333000012,0.0467348944886792,756,1.78310733792685,1
"158","(02/06/2022_50m_PC_8020split) - (26/05/2022_30m_PC_7030split)",0.0749999999000011,0.0467348944886791,756,1.60479660263636,1
"159","(02/06/2022_50m_PC_8020split) - (26/05/2022_30m_PC_8020split)",0.0666666668000012,0.0467348944886792,756,1.42648587376505,1
"160","(02/06/2022_50m_PC_8020split) - (26/05/2022_30m_var_7030split)",0.102777777700001,0.0467348944886792,756,2.19916571599188,1
"161","(02/06/2022_50m_PC_8020split) - (26/05/2022_30m_var_8020split)",0.0750000000000011,0.0467348944886792,756,1.60479660477609,1
"162","(02/06/2022_50m_PC_8020split) - (26/05/2022_50m_PC_7030split)",0.0916666668000011,0.0467348944886792,756,1.96141807535707,1
"163","(02/06/2022_50m_PC_8020split) - (26/05/2022_50m_PC_8020split)",0.058333333400001,0.0467348944886792,756,1.24817513847456,1
"164","(02/06/2022_50m_PC_8020split) - (26/05/2022_50m_var_7030split)",0.0361111112000014,0.0467348944886792,756,0.772679848646041,1
"165","(02/06/2022_50m_PC_8020split) - (26/05/2022_50m_var_8020split)",-0.0416666666999989,0.0467348944886792,756,-0.891553670033256,1
"166","(02/06/2022_50m_var_7030split) - (02/06/2022_50m_var_8020split)",-0.0472222220999992,0.0467348944886794,756,-1.01042748928079,1
"167","(02/06/2022_50m_var_7030split) - (03/02/2022_15-30m_PC_7030split)",-0.172222222099988,0.0467348944886794,756,-3.68508849724064,0.85387917888548
"168","(02/06/2022_50m_var_7030split) - (03/02/2022_15-30m_PC_8020split)",-0.25555555550001,0.0467348944886794,756,-5.46819583730767,0.000215486537161765
"169","(02/06/2022_50m_var_7030split) - (03/02/2022_15-30m_var_7030split)",-0.24444444430001,0.0467348944886798,756,-5.23044819025364,0.000763907903803534
"170","(02/06/2022_50m_var_7030split) - (03/02/2022_15-30m_var_8020split)",-0.313888888799993,0.0467348944886794,756,-6.71637097364212,1.27682151434367e-07
"171","(02/06/2022_50m_var_7030split) - (03/02/2022_15m_PC_7030split)",-0.3444444444,0.0467348944886794,756,-7.37017699876127,1.56039291631659e-09
"172","(02/06/2022_50m_var_7030split) - (03/02/2022_15m_PC_8020split)",-0.4055555555,0.0467348944886793,756,-8.67778904685959,8.56571483129911e-14
"173","(02/06/2022_50m_var_7030split) - (03/02/2022_15m_var_7030split)",-0.366666666400018,0.0467348944886798,756,-7.84567228431066,5.12418066247767e-11
"174","(02/06/2022_50m_var_7030split) - (03/02/2022_15m_var_8020split)",-0.397222222100009,0.0467348944886795,756,-8.49947831156925,3.52141462728334e-13
"175","(02/06/2022_50m_var_7030split) - (03/02/2022_30m_PC_7030split)",-0.172222222100003,0.0467348944886795,756,-3.68508849724096,0.85387917888444
"176","(02/06/2022_50m_var_7030split) - (03/02/2022_30m_PC_8020split)",-0.138888888700001,0.0467348944886793,756,-2.97184556035843,1
"177","(02/06/2022_50m_var_7030split) - (03/02/2022_30m_var_7030split)",-0.205555555299996,0.0467348944886795,756,-4.39833142984386,0.0434841287420815
"178","(02/06/2022_50m_var_7030split) - (03/02/2022_30m_var_8020split)",-0.2305555554,0.0467348944886795,756,-4.93326363357571,0.0034685734834195
"179","(02/06/2022_50m_var_7030split) - (03/05/2022_50m_PC_7030split)",-0.161111110999995,0.0467348944886796,756,-3.44734085232652,1
"180","(02/06/2022_50m_var_7030split) - (03/05/2022_50m_PC_8020split)",-0.113888888800004,0.0467348944886795,756,-2.4369133609062,1
"181","(02/06/2022_50m_var_7030split) - (03/05/2022_50m_var_7030split)",-0.172222221899997,0.0467348944886796,756,-3.68508849296137,0.853879192977277
"182","(02/06/2022_50m_var_7030split) - (03/05/2022_50m_var_8020split)",-0.147222222099998,0.0467348944886794,756,-3.15015629564885,1
