"","contrast","estimate","SE","df","t.ratio","p.value"
"99","(09/03/2022_30m_PC_8020split) - (22/03/2022_50m_var_8020split)",-0.1583333335,0.0436540565365389,144,-3.62700161364095,0.0326918957466826
"100","(09/03/2022_30m_var_7030split) - (09/03/2022_30m_var_8020split)",0.0305555552999999,0.0436540565365389,144,0.699947673234551,0.999997662746118
"101","(09/03/2022_30m_var_7030split) - (19/04/2022_50m_var_7030split)",0.0999999998999998,0.0436540565365389,144,2.29073785654487,0.631083244385495
"102","(09/03/2022_30m_var_7030split) - (22/03/2022_50m_PC_7030split)",-0.0166666667000001,0.0436540565365389,144,-0.381789643902851,0.999999999557813
"103","(09/03/2022_30m_var_7030split) - (22/03/2022_50m_PC_8020split)",-0.0861111113000001,0.0436540565365389,144,-1.97257982721318,0.836002358011711
"104","(09/03/2022_30m_var_7030split) - (22/03/2022_50m_var_7030split)",-0.0555555555000002,0.0436540565365389,144,-1.27263214252494,0.996291095366937
"105","(09/03/2022_30m_var_7030split) - (22/03/2022_50m_var_8020split)",-0.0861111114000002,0.0436540565365389,144,-1.97257982950392,0.836002356807079
"106","(09/03/2022_30m_var_8020split) - (19/04/2022_50m_var_7030split)",0.0694444445999998,0.0436540565365389,144,1.59079018331032,0.96762431650358
"107","(09/03/2022_30m_var_8020split) - (22/03/2022_50m_PC_7030split)",-0.047222222,0.0436540565365389,144,-1.0817373171374,0.999399521591382
"108","(09/03/2022_30m_var_8020split) - (22/03/2022_50m_PC_8020split)",-0.1166666666,0.0436540565365389,144,-2.67252750044773,0.358717460473582
"109","(09/03/2022_30m_var_8020split) - (22/03/2022_50m_var_7030split)",-0.0861111108000001,0.0436540565365389,144,-1.97257981575949,0.836002364034868
"110","(09/03/2022_30m_var_8020split) - (22/03/2022_50m_var_8020split)",-0.1166666667,0.0436540565365389,144,-2.67252750273847,0.358717458991403
"111","(19/04/2022_50m_var_7030split) - (22/03/2022_50m_PC_7030split)",-0.1166666666,0.0436540565365389,144,-2.67252750044772,0.358717460473585
"112","(19/04/2022_50m_var_7030split) - (22/03/2022_50m_PC_8020split)",-0.1861111112,0.0436540565365389,144,-4.26331768375804,0.00361870931076003
"113","(19/04/2022_50m_var_7030split) - (22/03/2022_50m_var_7030split)",-0.1555555554,0.0436540565365389,144,-3.5633699990698,0.0398040219057815
"114","(19/04/2022_50m_var_7030split) - (22/03/2022_50m_var_8020split)",-0.1861111113,0.0436540565365389,144,-4.26331768604878,0.0036187092795813
"115","(22/03/2022_50m_PC_7030split) - (22/03/2022_50m_PC_8020split)",-0.0694444446,0.0436540565365389,144,-1.59079018331033,0.96762431650358
"116","(22/03/2022_50m_PC_7030split) - (22/03/2022_50m_var_7030split)",-0.0388888888000001,0.0436540565365389,144,-0.890842498622085,0.999944232141317
"117","(22/03/2022_50m_PC_7030split) - (22/03/2022_50m_var_8020split)",-0.0694444447000001,0.0436540565365389,144,-1.59079018560106,0.967624316098444
"118","(22/03/2022_50m_PC_8020split) - (22/03/2022_50m_var_7030split)",0.0305555557999999,0.0436540565365389,144,0.69994768468824,0.9999976627456
"119","(22/03/2022_50m_PC_8020split) - (22/03/2022_50m_var_8020split)",-1.00000036029613e-10,0.0436540565365389,144,-2.29073868417959e-09,1
"120","(22/03/2022_50m_var_7030split) - (22/03/2022_50m_var_8020split)",-0.0305555559,0.0436540565365389,144,-0.699947686978978,0.999997662745497
