"","mtry","date","alt","PC","OOB","X35","X70","X140","X280","X560","Accuracy_test","AccuracyPValue_test","Kappa_test","split"
"323",4,"03/02/2022","30m",0,0.666666667,0.857142857,0.888888889,0.666666667,0.857142857,0.2,0.388888889,0.210733886,0.244274809,"7030split"
"324",4,"03/02/2022","30m",0,0.642857143,0.75,1,0.875,0.5,0.111111111,0.388888889,0.083585048,0.235521236,"7030split"
"325",4,"03/02/2022","30m",0,0.571428571,0.636363636,0.777777778,0.857142857,0.444444444,0,0.277777778,0.768927616,0.089494163,"7030split"
"326",4,"03/02/2022","30m",0,0.523809524,0.714285714,0.7,0.555555556,0.428571429,0.222222222,0.388888889,0.210733886,0.272058824,"7030split"
"327",4,"03/02/2022","30m",0,0.619047619,0.777777778,0.7,0.666666667,0.625,0.166666667,0.444444444,0.223260162,0.296875,"7030split"
"328",4,"03/02/2022","30m",0,0.547619048,0.5,1,0.6,0.5,0.25,0.444444444,0.223260162,0.328358209,"7030split"
"329",4,"03/02/2022","30m",0,0.571428571,0.571428571,0.8,0.625,0.714285714,0.2,0.444444444,0.097489527,0.320754717,"7030split"
"330",4,"03/02/2022","30m",0,0.523809524,0.666666667,0.5,0.454545455,0.875,0.222222222,0.333333333,0.587757394,0.187969925,"7030split"
"331",4,"14/02/2022","30m",0,0.476190476,0.571428571,0.75,0.75,0.5,0,0.5,0.037600683,0.354581673,"7030split"
"332",4,"14/02/2022","30m",0,0.357142857,0.571428571,0.4,0.571428571,0.5,0,0.5,0.107602386,0.322175732,"7030split"
"333",4,"14/02/2022","30m",0,0.333333333,0.666666667,0.625,0.333333333,0.1,0,0.444444444,0.223260162,0.307692308,"7030split"
"334",4,"14/02/2022","30m",0,0.595238095,1,0.7,0.5,0.625,0.142857143,0.611111111,0.003147863,0.501976285,"7030split"
"335",4,"14/02/2022","30m",0,0.5,0.666666667,0.625,0.666666667,0.454545455,0.125,0.555555556,0.043348066,0.446153846,"7030split"
"336",4,"14/02/2022","30m",0,0.571428571,0.555555556,0.888888889,0.777777778,0.5,0,0.666666667,0.000669739,0.579766537,"7030split"
"337",4,"14/02/2022","30m",0,0.380952381,0.571428571,0.625,0.555555556,0.181818182,0,0.5,0.037600683,0.346774194,"7030split"
"338",4,"14/02/2022","30m",0,0.547619048,0.454545455,0.714285714,1,0.4,0.166666667,0.611111111,0.014433622,0.5,"7030split"
"339",4,"14/02/2022","30m",0,0.5,0.625,0.75,0.857142857,0.444444444,0,0.611111111,0.003147863,0.511627907,"7030split"
"340",4,"14/02/2022","30m",0,0.452380952,0.75,0.7,0.428571429,0.25,0.111111111,0.5,0.037600683,0.390977444,"7030split"
