"","ID","N","mean_OOB","sd_OOB","mean_accuracy","sd_accuracy","mean_accpval","sd_accpval","mean_kappa","sd_kappa","lsmean","SE","df","lower.CL","upper.CL"
"45","14/02/2022_30m_PC_7030split",10,0.5928571427,0.0639369335464862,0.3499999999,0.108139269090737,0.438371439,0.2887298969894,0.189490678,0.130611272378198,0.349999999899997,0.0330465608109827,756,0.285126069877039,0.414873929922955
"46","14/02/2022_30m_PC_8020split",10,0.6208333333,0.0508416811573067,0.3250000001,0.126990327188265,0.6155302121,0.348453110218013,0.170840557,0.152705286238154,0.325000000099996,0.0330465608109832,756,0.260126070077037,0.389873930122955
"47","14/02/2022_30m_var_7030split",10,0.4714285713,0.0903507903164592,0.55,0.0714824410893178,0.050841175,0.0682513391360633,0.4261725926,0.0942871710819986,0.549999999999991,0.0330465608109828,756,0.485126069977033,0.614873930022949
"48","14/02/2022_30m_var_8020split",10,0.4583333335,0.0510310363079829,0.6,0.179161283364432,0.1810232371,0.208924952328336,0.4981977031,0.215978657900493,0.599999999999997,0.0330465608109831,756,0.535126069977039,0.664873930022956
"49","19/01/2022_15-30m_PC_7030split",10,0.6583333334,0.0544244258222087,0.3666666666,0.0486441686623995,0.2293965136,0.145178796803875,0.2138856475,0.0616094084141553,0.366666666599997,0.033046560810983,756,0.301792736577038,0.431540596622955
"50","19/01/2022_15-30m_PC_8020split",10,0.6239583332,0.0586075729355963,0.3375,0.0536118305363358,0.4401628733,0.252743159706021,0.1732091266,0.075408984930338,0.337499999999995,0.0330465608109829,756,0.272626069977036,0.402373930022953
"51","19/01/2022_15-30m_var_7030split",10,0.6571428572,0.0311451060697947,0.3722222222,0.071960589879097,0.2572454714,0.22116151459843,0.2202836269,0.0874775777889128,0.372222222199993,0.0330465608109827,756,0.307348292177035,0.437096152222951
"52","19/01/2022_15-30m_var_8020split",10,0.6218749999,0.0583188640063994,0.4083333334,0.0895806417752418,0.230717627,0.1832491722757,0.2594188167,0.11316896637544,0.408333333399996,0.033046560810983,756,0.343459403377037,0.473207263422954
"53","19/01/2022_15m_PC_7030split",10,0.5547619049,0.0925888131923607,0.4222222223,0.108613913555459,0.3232170512,0.324137925631686,0.2735249689,0.133833752766783,0.422222222299991,0.0330465608109826,756,0.357348292277033,0.487096152322948
"54","19/01/2022_15m_PC_8020split",10,0.6,0.0720350137557433,0.3750000001,0.105774626484922,0.5345722075,0.352151661345895,0.2056931307,0.123825139209058,0.375000000099996,0.033046560810983,756,0.310126070077038,0.439873930122955
"55","19/01/2022_15m_var_7030split",10,0.5809523809,0.072043210888831,0.3944444444,0.0846602182616148,0.3468592877,0.240375146515607,0.2441681041,0.107238634903011,0.394444444399995,0.0330465608109829,756,0.329570514377037,0.459318374422954
"56","19/01/2022_15m_var_8020split",10,0.5645833333,0.0485614825886083,0.3749999999,0.11947673980712,0.5443581317,0.319618139478888,0.21856372,0.130144418022916,0.374999999899997,0.033046560810983,756,0.310126069877039,0.439873929922956
"57","19/01/2022_30m_PC_7030split",10,0.6595238095,0.0761656705527385,0.3944444444,0.112491426427764,0.367456807,0.345712526024093,0.2530103653,0.137349569672536,0.394444444399998,0.0330465608109832,756,0.329570514377039,0.459318374422957
"58","19/01/2022_30m_PC_8020split",10,0.6354166666,0.0703071412745358,0.3416666667,0.0997682500059977,0.6243102786,0.258557472144186,0.1879367207,0.117754235226092,0.341666666699995,0.033046560810983,756,0.276792736677037,0.406540596722954
"59","19/01/2022_30m_var_7030split",10,0.573809524,0.079721422200826,0.4611111111,0.083024117748902,0.2417813669,0.289926152952758,0.3285697593,0.111670751054781,0.461111111099996,0.0330465608109829,756,0.396237181077038,0.525985041122954
"60","19/01/2022_30m_var_8020split",10,0.5479166667,0.0461165492057694,0.4166666667,0.111111111083333,0.4429457765,0.249179928011573,0.2735339315,0.139843777703204,0.416666666699996,0.033046560810983,756,0.351792736677037,0.481540596722954
"61","19/04/2022_50m_PC_7030split",10,0.4357142858,0.0809757202919194,0.6222222223,0.0936971158026722,0.0264986485,0.0693362667025272,0.5309994672,0.109996834471678,0.622222222299992,0.0330465608109829,756,0.557348292277033,0.68709615232295
"62","19/04/2022_50m_PC_8020split",10,0.3958333333,0.0754359755617346,0.5583333334,0.175901557847241,0.310514961,0.389869850595429,0.4494480421,0.211979845131726,0.558333333399995,0.033046560810983,756,0.493459403377037,0.623207263422954
"63","19/04/2022_50m_var_7030split",10,0.3404761905,0.0939395602902651,0.7055555555,0.108139268873824,0.003210115963,0.0053880275207234,0.629819113,0.133836243013986,0.705555555499992,0.0330465608109829,756,0.640681625477034,0.770429485522951
"64","19/04/2022_50m_var_8020split",10,0.2874999999,0.072701401902441,0.675,0.164100616511658,0.1684118067,0.261410686600827,0.5827472285,0.209852046857344,0.674999999999996,0.033046560810983,756,0.610126069977038,0.739873930022955
"65","22/03/2022_50m_PC_7030split",10,0.1952380952,0.0368855556289851,0.8222222221,0.116534316473944,0.001543537508,0.00453682212528463,0.7667019886,0.161098670475861,0.822222222099995,0.033046560810983,756,0.757348292077036,0.887096152122953
"66","22/03/2022_50m_PC_8020split",10,0.1666666666,0.0325723315706846,0.8916666667,0.104305463095091,0.00227755726,0.00603838659894311,0.8587741027,0.13252806977728,0.891666666699994,0.033046560810983,756,0.826792736677036,0.956540596722953
"67","22/03/2022_50m_var_7030split",10,0.1214285713,0.0345032780207895,0.8611111109,0.0752225777249655,1.5390463e-05,3.51987918817192e-05,0.8192907723,0.0953952356128685,0.861111110899998,0.033046560810983,756,0.796237180877039,0.925985040922957
"68","22/03/2022_50m_var_8020split",10,0.1375,0.0201269121474853,0.8916666668,0.0686060503396739,0.0005196008,0.000963671504066816,0.8580881392,0.0872012489870393,0.891666666799995,0.033046560810983,756,0.826792736777037,0.956540596822954
"69","26/05/2022_15-30-50m_PC_7030split",10,0.8205904762,0.0413533280415809,0.2050168351,0.0617592924037978,0.7303113495,0.305600415615109,0.0134668662,0.0760089538882327,0.205016835099993,0.0330465608109829,756,0.140142905077035,0.269890765122952
"70","26/05/2022_15-30-50m_PC_8020split",10,0.8055555555,0.0317391417522607,0.1805555555,0.0559400276892477,0.898842848,0.0984650537980667,-0.0120600063,0.070274898643315,0.180555555499997,0.033046560810983,756,0.115681625477038,0.245429485522955
"71","26/05/2022_15-30-50m_var_7030split",10,0.7584126984,0.0315678385973431,0.25989899,0.0450780292441222,0.5080147645,0.258087850931499,0.0808352751,0.0579287599762225,0.259898989999997,0.0330465608109831,756,0.195025059977038,0.324772920022955
"72","26/05/2022_15-30-50m_var_8020split",10,0.7125000002,0.0457373667581532,0.2416666669,0.0869088892010112,0.6494455684,0.301961747861387,0.0580843791,0.107376787158278,0.241666666899996,0.033046560810983,756,0.176792736877038,0.306540596922955
"73","26/05/2022_15m_PC_7030split",10,0.8833333333,0.0455226363851742,0.127777778,0.0457373668121383,0.9474176622,0.0624883206839313,-0.0540293239,0.0647026032626104,0.127777777999997,0.0330465608109829,756,0.0629038479770393,0.192651708022956
"74","26/05/2022_15m_PC_8020split",10,0.8791666667,0.0489078245336805,0.1416666667,0.0882791588347323,0.9312664159,0.116014985952057,-0.0427549481,0.110102131744629,0.141666666699996,0.0330465608109831,756,0.0767927366770372,0.206540596722955
"75","26/05/2022_15m_var_7030split",10,0.7857142858,0.0501948835273629,0.2111111111,0.08198497639816,0.7759578168,0.241597026799597,0.0384618773,0.0938118753221965,0.211111111099996,0.033046560810983,756,0.146237181077038,0.275985041122955
"76","26/05/2022_15m_var_8020split",10,0.7729166668,0.0444118803723719,0.1750000001,0.09976825015449,0.8829165638,0.191303670780301,-0.0052956997,0.122051201421637,0.175000000099996,0.033046560810983,756,0.110126070077038,0.239873930122955
"77","26/05/2022_30m_PC_7030split",10,0.830952381,0.0619352794558145,0.1833333335,0.0695369753168341,0.8273955419,0.157435009874256,0.0100385834,0.0703013464350697,0.183333333499997,0.0330465608109829,756,0.118459403477038,0.248207263522955
"78","26/05/2022_30m_PC_8020split",10,0.8270833334,0.0439753893644284,0.1916666666,0.0966251507145903,0.8296797579,0.228062004812631,0.015766912,0.094280662266704,0.191666666599996,0.033046560810983,756,0.126792736577038,0.256540596622955
"79","26/05/2022_30m_var_7030split",10,0.8357142857,0.0455226361875866,0.1555555557,0.0731422876845989,0.8942602501,0.135422416846183,-0.0281756618,0.0871310172317993,0.155555555699996,0.033046560810983,756,0.0906816256770378,0.220429485722955
"80","26/05/2022_30m_var_8020split",10,0.8166666667,0.0802676847634461,0.1833333334,0.0946077019872518,0.8595239876,0.149143775243321,0.0094130053,0.110200799546613,0.183333333399996,0.033046560810983,756,0.118459403377038,0.248207263422955
"81","26/05/2022_50m_PC_7030split",10,0.7809523811,0.0602338604471676,0.1666666666,0.133538936040982,0.8630500933,0.21387856567339,-0.0057894117,0.142760267856333,0.166666666599997,0.033046560810983,756,0.101792736577038,0.231540596622955
"82","26/05/2022_50m_PC_8020split",10,0.8312499999,0.037332444572341,0.2,0.0978156491052252,0.8554607199,0.177428157339803,0.0273501412,0.115697447687354,0.199999999999997,0.033046560810983,756,0.135126069977038,0.264873930022955
"83","26/05/2022_50m_var_7030split",10,0.7428571428,0.0867950674783651,0.2222222222,0.117121394756634,0.7934681678,0.286475943898789,0.071863575,0.121695570434795,0.222222222199996,0.033046560810983,756,0.157348292177038,0.287096152222955
"84","26/05/2022_50m_var_8020split",10,0.7541666666,0.0517815329825672,0.3000000001,0.0978156492377496,0.6852119237,0.255416308915252,0.129733694,0.100055773827057,0.300000000099997,0.033046560810983,756,0.235126070077038,0.364873930122955
